N,kod,T,HV1,HV10
2045,107,-14.0,-97.3,-1027.7
2046,107,-14.0,-97.3,-1027.7
2047,107,-14.0,-97.3,-1027.7
2048,107,-14.0,-97.3,-1027.7
2049,107,-14.0,-97.3,-1027.7
2050,107,-14.0,-97.3,-1027.7
2051,107,-14.0,-97.3,-1027.7
2052,107,-14.0,-97.3,-1027.7
2053,107,-14.0,-97.3,-1027.7
2054,107,-14.0,-97.3,-1027.7
2055,107,-14.0,-97.3,-1027.7
2056,107,-14.0,-97.3,-1027.7
2057,107,-14.0,-97.3,-1027.7
2058,107,-14.0,-97.3,-1027.7
2059,107,-14.0,-97.3,-1027.7
2060,107,-14.0,-97.3,-1027.7
2061,107,-14.0,-97.3,-1027.7
2062,107,-14.0,-97.3,-1027.7
2063,98,-13.9,-96.0,-1012.8
2064,98,-13.9,-96.0,-1012.8
2065,98,-13.9,-96.0,-1012.8
2066,98,-13.9,-96.0,-1012.8
2067,98,-13.9,-96.0,-1012.8
2068,98,-13.9,-96.0,-1012.8
2069,98,-13.9,-96.0,-1012.8
2070,98,-13.9,-96.0,-1012.8
2071,98,-13.9,-96.0,-1012.8
2072,98,-13.9,-96.0,-1012.8
2073,98,-13.7,-95.9,-1012.2
2074,98,-13.7,-95.9,-1012.2
2075,98,-13.7,-95.9,-1012.2
2076,98,-13.7,-95.9,-1012.2
2077,98,-13.8,-95.9,-1012.3
2078,98,-13.8,-95.9,-1012.3
2079,98,-13.8,-95.9,-1012.3
2080,98,-13.8,-95.9,-1012.3
2081,98,-13.8,-95.9,-1012.3
2082,98,-13.8,-95.9,-1012.3
2083,98,-13.8,-95.9,-1012.3
2084,98,-13.8,-95.9,-1012.3
2085,98,-13.8,-95.9,-1012.3
2086,98,-13.8,-95.9,-1012.3
2087,98,-13.8,-95.9,-1012.3
2088,98,-13.8,-95.9,-1012.3
2089,98,-13.8,-95.9,-1012.3
2090,98,-13.8,-95.9,-1012.3
2091,98,-13.8,-95.9,-1012.3
2092,98,-13.8,-95.9,-1012.3
2093,98,-13.6,-95.9,-1012.1
2094,98,-13.6,-95.9,-1012.1
2095,98,-13.6,-95.9,-1012.1
2096,98,-13.6,-95.9,-1012.1
2097,98,-13.6,-95.9,-1012.1
2098,98,-13.6,-95.9,-1012.1
2099,98,-13.6,-95.9,-1012.1
2100,98,-13.6,-95.9,-1012.1
2101,98,-13.6,-95.9,-1012.1
2102,98,-13.6,-95.9,-1012.1
2103,98,-13.6,-95.9,-1012.1
2104,98,-13.6,-95.9,-1012.1
2105,98,-13.6,-95.9,-1012.1
2106,98,-13.6,-95.9,-1012.1
2107,98,-13.6,-95.7,-1009.5
2108,98,-13.6,-95.7,-1009.5
2109,98,-13.6,-95.7,-1009.5
2110,98,-13.6,-95.7,-1009.5
2111,98,-13.6,-95.7,-1009.5
2112,98,-13.6,-95.7,-1009.5
2113,98,-13.6,-95.7,-1009.5
2114,98,-13.6,-95.7,-1009.5
2115,98,-13.6,-95.7,-1009.5
2116,98,-13.6,-95.7,-1009.5
2117,98,-13.6,-95.7,-1009.5
2118,98,-13.6,-95.7,-1009.5
2119,98,-13.6,-95.8,-1010.7
2120,98,-13.6,-95.8,-1010.7
2121,98,-13.6,-95.8,-1010.7
2122,98,-13.6,-95.8,-1010.7
2123,98,-13.6,-95.8,-1010.7
2124,98,-13.6,-95.8,-1010.7
2125,98,-13.6,-95.8,-1010.7
2126,98,-13.6,-95.8,-1010.7
2127,98,-13.6,-95.8,-1010.7
2128,98,-13.6,-95.8,-1010.7
2129,98,-13.6,-95.8,-1010.7
2130,98,-13.6,-95.8,-1010.7
2131,98,-13.5,-95.7,-1010.2
2132,98,-13.5,-95.7,-1010.2
2133,98,-13.5,-95.7,-1010.2
2134,98,-13.5,-95.7,-1010.2
2135,98,-13.5,-95.7,-1010.2
2136,98,-13.5,-95.7,-1010.2
2137,98,-13.5,-95.7,-1010.2
2138,98,-13.5,-95.7,-1010.2
2139,98,-13.5,-95.7,-1010.2
2140,98,-13.5,-95.7,-1010.2
2141,98,-13.4,-95.7,-1010.2
2142,98,-13.4,-95.7,-1010.2
2143,98,-13.4,-95.7,-1010.2
2144,98,-13.4,-95.7,-1010.2
2145,98,-13.4,-95.7,-1010.2
2146,98,-13.4,-95.7,-1010.2
2147,98,-13.4,-95.7,-1010.2
2148,98,-13.4,-95.7,-1010.2
2149,98,-13.4,-95.7,-1010.2
2150,98,-13.4,-95.7,-1010.2
2151,98,-13.4,-95.8,-1011.5
2152,98,-13.4,-95.8,-1011.5
2153,98,-13.4,-95.8,-1011.5
2154,98,-13.4,-95.8,-1011.5
2155,98,-13.4,-95.8,-1011.5
2156,98,-13.4,-95.8,-1011.5
2157,98,-13.4,-95.8,-1011.5
2158,98,-13.4,-95.8,-1011.5
2159,98,-13.5,-96.1,-1014.7
2160,98,-13.5,-96.1,-1014.7
2161,98,-13.5,-96.1,-1014.7
2162,98,-13.5,-96.1,-1014.7
2163,98,-13.5,-96.1,-1014.7
2164,98,-13.5,-96.1,-1014.7
2165,98,-13.5,-96.1,-1014.7
2166,98,-13.5,-96.1,-1014.7
2167,98,-13.4,-95.7,-1009.5
2168,98,-13.4,-95.7,-1009.5
2169,98,-13.4,-95.7,-1009.5
