Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
10975 1 1 29 7 1 5
10976 1 1 196 31 1 5
10977 1 1 7 0 1 5
10978 1 1 430 24 1 5
10979 1 1 166 9 1 5
10980 1 1 0 0 1 3
10981 1 1 144 11 1 5
10982 1 1 382 35 1 5
10983 1 1 52 2 1 5
10984 1 1 433 134 1 5
10985 1 1 76 12 1 5
10986 1 1 431 201 1 5
10987 1 1 236 41 1 5
10988 1 1 0 0 1 3
10989 1 1 204 35 1 5
10990 1 1 432 58 1 5
10991 1 1 154 7 1 5
10992 1 1 0 0 1 3
10993 1 1 219 19 1 5
10994 1 1 428 185 1 5
10995 1 1 129 13 1 5
10996 1 1 435 234 1 5
10997 1 1 199 24 1 5
10998 1 1 307 94 1 5
10999 1 1 160 12 1 5
11000 1 1 0 0 1 3
11001 1 1 200 87 1 5
11002 1 1 96 23 1 5
11003 1 1 2 2 1 3
11004 1 1 429 34 1 5
11005 1 1 25 25 1 3
11006 1 1 274 34 1 5
11007 1 1 24 16 1 5
11008 1 1 437 67 1 5
11009 1 1 208 37 1 5
11010 1 1 281 67 1 5
11011 1 1 200 24 1 5
11012 1 1 432 137 1 5
11013 1 1 205 168 1 5
11014 1 1 238 240 1 3
11015 1 1 234 235 1 3
11016 1 1 443 156 1 5
11017 1 1 202 41 1 5
11018 1 1 431 467 1 3
11019 1 1 220 65 1 5
11020 1 1 309 40 1 5
11021 1 1 26 12 1 5
11022 1 1 0 0 1 3
11023 1 1 34 14 1 5
11024 1 1 430 224 1 5
11025 1 1 212 238 1 3
11026 1 1 230 232 1 3
11027 1 1 234 69 1 5
11028 1 1 442 238 1 5
11029 1 1 123 14 1 5
11030 1 1 430 201 1 5
11031 1 1 200 29 1 5
11032 1 1 435 226 1 5
11033 1 1 303 132 1 5
11034 1 1 0 0 1 3
11035 1 1 201 238 1 3
11036 1 1 430 235 1 5
11037 1 1 214 239 1 3
11038 1 1 441 73 1 5
11039 1 1 205 238 1 3
11040 1 1 434 234 1 5
11041 1 1 206 72 1 5
11042 1 1 430 467 1 3
11043 1 1 238 239 1 3
11044 1 1 235 240 1 3
11045 1 1 238 239 1 3
11046 1 1 232 237 1 3
11047 1 1 238 239 1 3
11048 1 1 221 253 1 3
11049 1 1 201 239 1 3
11050 1 1 236 237 1 3
11051 1 1 238 239 1 3
11052 1 1 237 239 1 3
11053 1 1 238 238 1 3
11054 1 1 234 468 1 3
11055 1 1 238 239 1 3
11056 1 1 239 240 1 3
11057 1 1 237 238 1 3
11058 1 1 234 236 1 3
11059 1 1 237 238 1 3
11060 1 1 234 236 1 3
11061 1 1 238 238 1 3
11062 1 1 467 235 1 5
11063 1 1 238 239 1 3
11064 1 1 237 238 1 3
11065 1 1 238 238 1 3
11066 1 1 468 238 1 5
11067 1 1 238 239 1 3
11068 1 1 238 239 1 3
11069 1 1 238 238 1 3
11070 1 1 236 236 1 3
11071 1 1 237 239 1 3
11072 1 1 237 238 1 3
11073 1 1 238 238 1 3
11074 1 1 236 238 1 3
11075 1 1 238 239 1 3
11076 1 1 235 236 1 3
11077 1 1 238 238 1 3
11078 1 1 237 239 1 3
11079 1 1 237 238 1 3
11080 1 1 235 237 1 3
11081 1 1 238 238 1 3
11082 1 1 239 239 1 3
11083 1 1 235 235 1 3
11084 1 1 237 467 1 3
11085 1 1 238 239 1 3
11086 1 1 238 238 1 3
11087 1 1 238 238 1 3
11088 1 1 237 240 1 3
11089 1 1 239 239 1 3
11090 1 1 235 239 1 3
11091 1 1 239 239 1 3
11092 1 1 238 239 1 3
11093 1 1 238 239 1 3
11094 1 1 234 235 1 3
11095 1 1 238 239 1 3
11096 1 1 238 238 1 3
11097 1 1 238 239 1 3
11098 1 1 237 238 1 3
11099 1 1 238 238 1 3
11100 1 1 238 238 1 3
11101 1 1 238 239 1 3
11102 1 1 467 238 1 5
11103 1 1 238 239 1 3
11104 1 1 236 238 1 3
11105 1 1 238 239 1 3
11106 1 1 467 239 1 5
11107 1 1 238 239 1 3
11108 1 1 238 239 1 3
11109 1 1 238 239 1 3
11110 1 1 239 239 1 3
11111 1 1 238 238 1 3
11112 1 1 233 236 1 3
11113 1 1 238 239 1 3
11114 1 1 226 238 1 3
11115 1 1 0 3 1 3
11116 1 1 238 240 1 3
11117 1 1 234 235 1 3
11118 1 1 236 238 1 3
11119 1 1 237 238 1 3
11120 1 1 467 236 1 5
11121 1 1 238 239 1 3
11122 1 1 235 467 1 3
11123 1 1 238 238 1 3
11124 1 1 231 237 1 3
11125 1 1 237 238 1 3
11126 1 1 232 237 1 3
11127 1 1 238 238 1 3
11128 1 1 239 239 1 3
11129 1 1 234 235 1 3
11130 1 1 231 238 1 3
11131 1 1 238 238 1 3
11132 1 1 234 239 1 3
11133 1 1 238 239 1 3
11134 1 1 467 240 1 5
11135 1 1 238 239 1 3
11136 1 1 238 238 1 3
11137 1 1 238 238 1 3
11138 1 1 467 238 1 5
11139 1 1 238 239 1 3
11140 1 1 236 237 1 3
11141 1 1 237 238 1 3
11142 1 1 238 468 1 3
11143 1 1 239 239 1 3
11144 1 1 236 236 1 3
11145 1 1 238 238 1 3
11146 1 1 236 236 1 3
11147 1 1 238 239 1 3
11148 1 1 235 237 1 3
11149 1 1 238 238 1 3
11150 1 1 233 237 1 3
11151 1 1 234 235 1 3
11152 1 1 234 239 1 3
11153 1 1 238 238 1 3
11154 1 1 231 235 1 3
11155 1 1 0 0 1 3
11156 1 1 236 237 1 3
11157 1 1 238 239 1 3
11158 1 1 236 236 1 3
11159 1 1 238 239 1 3
11160 1 1 235 467 1 3
11161 1 1 238 238 1 3
11162 1 1 467 237 1 5
11163 1 1 235 235 1 3
11164 1 1 237 238 1 3
11165 1 1 238 239 1 3
11166 1 1 467 237 1 5
11167 1 1 238 239 1 3
11168 1 1 467 468 1 3
11169 1 1 238 239 1 3
11170 1 1 233 238 1 3
11171 1 1 238 239 1 3
