Event Calibr
11159 1
11160 0
11161 1
11162 0
11163 1
11164 0
11165 1
11166 0
11167 1
11168 0
11169 1
11170 0
11171 1
11172 0
11173 1
11174 0
11175 1
11176 0
11177 1
11178 0
11179 1
11180 0
11181 1
11182 0
11183 1
11184 0
11185 1
11186 0
11187 1
11188 0
11189 1
11190 0
11191 1
11192 0
11193 1
11194 0
11195 1
11196 0
11197 1
11198 0
11199 1
11200 0
11201 1
11202 0
11203 1
11204 0
11205 1
11206 0
11207 1
11208 0
11209 1
11210 0
11211 1
11212 0
11213 1
11214 0
11215 1
11216 0
11217 1
11218 0
11219 1
11220 0
11221 1
11222 0
11223 1
11224 0
11225 1
11226 0
11227 1
11228 0
11229 1
11230 0
11231 1
11232 0
11233 1
11234 0
11235 1
11236 0
11237 1
11238 0
11239 1
11240 0
11241 1
11242 0
11243 1
11244 0
11245 1
11246 0
11247 1
11248 0
11249 1
11250 0
11251 1
11252 0
11253 1
11254 0
11255 1
11256 0
11257 1
11258 0
11259 1
11260 0
11261 1
11262 0
11263 1
11264 0
11265 1
11266 0
11267 1
11268 0
11269 1
11270 0
11271 1
11272 0
11273 1
11274 0
11275 1
11276 0
11277 1
11278 0
11279 1
11280 0
11281 1
11282 0
11283 1
11284 0
11285 1
11286 0
11287 1
11288 0
11289 1
11290 0
11291 1
11292 0
11293 1
11294 0
11295 1
11296 0
11297 1
11298 0
11299 1
11300 0
11301 1
11302 0
11303 1
11304 0
11305 1
11306 0
11307 1
11308 0
11309 1
11310 0
11311 1
11312 0
11313 1
11314 0
11315 1
11316 0
11317 1
11318 0
11319 1
11320 0
11321 1
11322 0
11323 1
11324 0
11325 1
11326 0
11327 1
11328 0
11329 1
11330 0
11331 1
11332 0
11333 1
11334 0
11335 1
11336 0
11337 1
11338 0
11339 1
11340 0
11341 1
11342 0
11343 1
11344 0
11345 1
11346 0
11347 1
11348 0
11349 1
11350 0
11351 1
11352 0
11353 1
11354 0
11355 1
11356 0
11357 1
11358 0
11359 1
11360 0
11361 1
11362 0
11363 1
11364 0
11365 1
11366 0
11367 1
11368 0
11369 1
11370 0
11371 1
11372 0
11373 1
11374 0
11375 1
11376 0
11377 1
11378 0
11379 1
11380 0
11381 1
11382 0
11383 1
11384 0
11385 1
11386 0
11387 1
11388 0
11389 1
11390 0
11391 1
11392 0
11393 1
11394 0
11395 1
11396 0
11397 1
11398 0
11399 1
11400 0
11401 1
11402 0
11403 1
11404 0
11405 1
11406 0
11407 1
11408 0
11409 1
11410 0
11411 1
11412 0
11413 1
11414 0
11415 1
11416 0
11417 1
11418 0
11419 1
11420 0
11421 1
11422 0
11423 1
11424 0
11425 1
11426 0
11427 1
11428 0
11429 1
11430 0
11431 1
11432 0
11433 1
11434 0
11435 1
11436 0
11437 1
11438 0
11439 1
11440 0
11441 1
11442 0
11443 1
11444 0
11445 1
11446 0
11447 1
11448 0
11449 1
11450 0
11451 1
11452 0
11453 1
11454 0
11455 1
11456 0
11457 1
11458 0
11459 1
11460 0
11461 1
11462 0
11463 1
11464 0
11465 1
11466 0
11467 1
11468 0
11469 1
11470 0
11471 1
11472 0
11473 1
11474 0
11475 1
11476 0
11477 1
11478 0
11479 1
11480 0
11481 1
11482 0
11483 1
11484 0
11485 1
11486 0
11487 1
11488 0
11489 1
11490 0
11491 1
11492 0
11493 1
11494 0
11495 1
11496 0
11497 1
11498 0
11499 1
11500 0
11501 1
11502 0
11503 1
11504 0
11505 1
11506 0
11507 1
11508 0
11509 1
11510 0
11511 1
