EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
1932,2012-03-13,17:37:18,E,5,24,510,240,510,240
1933,2012-03-13,17:37:19,L,1,0,510,239,510,239
1934,2012-03-13,17:37:21,E,5,28,510,239,510,239
1935,2012-03-13,17:37:21,E,5,17,510,241,510,241
1936,2012-03-13,17:37:23,L,3,16,510,242,510,242
1937,2012-03-13,17:37:24,E,6,1150,239,510,510,239
1938,2012-03-13,17:37:25,E,5,16,510,240,510,240
1939,2012-03-13,17:37:25,E,5,38,510,241,510,241
1940,2012-03-13,17:37:26,E,4,14,510,241,510,241
1941,2012-03-13,17:37:29,E,4,19,510,239,511,239
1942,2012-03-13,17:37:31,L,1,0,510,240,510,240
1943,2012-03-13,17:37:41,E,4,26,510,241,510,241
1944,2012-03-13,17:37:42,L,3,14,510,242,511,242
1945,2012-03-13,17:37:43,E,9,52,510,240,511,240
1946,2012-03-13,17:37:44,E,5,32,510,239,510,239
1947,2012-03-13,17:37:51,L,3,12,472,241,472,241
1948,2012-03-13,17:37:51,L,3,12,472,472,472,472
1949,2012-03-13,17:37:52,C,0,4331979,242,242,242,242
1950,2012-03-13,17:37:52,L,3,11,472,242,472,242
1951,2012-03-13,17:37:53,C,0,4348628,241,242,242,241
1952,2012-03-13,17:37:57,E,4,31,472,240,472,240
1953,2012-03-13,17:37:57,C,0,4343783,242,242,242,242
1954,2012-03-13,17:37:58,E,9,76,472,240,472,240
1955,2012-03-13,17:37:59,C,0,4335163,242,242,242,242
1956,2012-03-13,17:38:01,E,6,43,472,239,472,239
1957,2012-03-13,17:38:02,C,0,4351701,242,242,242,242
1958,2012-03-13,17:38:05,E,4,30,472,242,472,242
1959,2012-03-13,17:38:05,C,0,4340064,242,242,242,242
1960,2012-03-13,17:38:10,E,4,63,472,239,472,239
1961,2012-03-13,17:38:11,C,0,4345016,242,242,242,242
1962,2012-03-13,17:38:12,E,7,49,472,242,472,242
1963,2012-03-13,17:38:12,C,0,4350381,242,242,242,242
1964,2012-03-13,17:38:14,E,4,16,472,243,472,243
1965,2012-03-13,17:38:16,L,3,9,472,239,472,239
1966,2012-03-13,17:38:17,C,0,4350158,242,242,242,242
1967,2012-03-13,17:38:20,E,56,826,306,232,242,232
1968,2012-03-13,17:38:21,C,0,4203891,242,242,243,242
1969,2012-03-13,17:38:23,L,2,6,472,242,472,242
1970,2012-03-13,17:38:23,C,0,4347474,242,242,242,242
1971,2012-03-13,17:38:29,L,4,1173,242,242,243,242
1972,2012-03-13,17:38:29,C,0,4347190,242,242,242,242
1973,2012-03-13,17:38:35,L,2,9,472,239,472,239
1974,2012-03-13,17:38:35,C,0,4346754,242,242,243,242
1975,2012-03-13,17:38:39,L,3,13,472,239,472,239
1976,2012-03-13,17:38:39,C,0,4354677,241,242,243,241
1977,2012-03-13,17:38:42,E,4,29,472,239,472,239
1978,2012-03-13,17:38:42,C,0,4351685,242,242,242,242
1979,2012-03-13,17:38:43,L,1,0,472,239,472,239
1980,2012-03-13,17:38:43,C,0,4358776,240,242,242,240
1981,2012-03-13,17:38:49,E,8,60,472,243,472,243
1982,2012-03-13,17:38:49,C,0,4353148,242,242,242,242
1983,2012-03-13,17:38:49,L,3,10,472,240,472,240
1984,2012-03-13,17:38:49,C,0,4362462,240,242,242,240
1985,2012-03-13,17:38:52,L,3,10,472,241,472,241
1986,2012-03-13,17:38:52,C,0,4350518,242,242,242,242
1987,2012-03-13,17:38:55,L,3,11,472,239,472,239
1988,2012-03-13,17:39:01,E,4,31,472,240,472,240
1989,2012-03-13,17:39:01,C,0,4359088,242,242,242,242
1990,2012-03-13,17:39:12,E,4,16,472,243,472,243
1991,2012-03-13,17:39:12,C,0,4352572,241,242,242,241
1992,2012-03-13,17:39:13,L,2,1,472,240,472,240
1993,2012-03-13,17:39:14,C,0,4362972,242,242,242,242
1994,2012-03-13,17:39:21,E,6,43,472,240,472,240
1995,2012-03-13,17:39:22,C,0,4364527,240,241,242,240
1996,2012-03-13,17:39:23,E,4,33,472,239,472,239
1997,2012-03-13,17:39:23,C,0,4350130,242,242,242,242
