EID,Date,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
10899,2013-03-09,21:56:44,E,17,289,123,228,265,123
10900,2013-03-09,21:56:45,C,0,5775715,33,30,57,30
10901,2013-03-09,21:56:45,E,7,92,202,434,471,202
10902,2013-03-09,21:56:46,C,0,6302840,23,24,53,23
10903,2013-03-09,21:56:46,E,11,127,134,134,472,134
10904,2013-03-09,21:56:46,C,0,5671048,50,67,141,50
10905,2013-03-09,21:56:48,E,15,178,230,55,472,55
10906,2013-03-09,21:56:48,C,0,5524192,26,26,241,26
10907,2013-03-09,21:56:49,E,9,143,93,71,472,71
10908,2013-03-09,21:56:49,C,0,5516685,16,16,220,16
10909,2013-03-09,21:56:50,E,21,215,148,159,472,148
10910,2013-03-09,21:56:50,C,0,4216092,19,41,286,19
10911,2013-03-09,21:56:51,E,33,483,63,74,245,63
10912,2013-03-09,21:56:51,E,15,223,177,71,321,71
10913,2013-03-09,21:56:52,C,0,5360599,15,18,143,15
10914,2013-03-09,21:56:52,L,0,0,12,12,12,12
10915,2013-03-09,21:56:53,E,17,185,187,176,472,176
10916,2013-03-09,21:56:53,C,0,5759481,21,45,291,21
10917,2013-03-09,21:56:53,E,7,144,31,46,61,31
10918,2013-03-09,21:56:53,C,0,6613837,34,52,243,34
10919,2013-03-09,21:56:54,E,56,851,61,55,310,55
10920,2013-03-09,21:56:54,C,0,3614170,17,20,150,17
10921,2013-03-09,21:56:55,L,0,0,11,11,11,11
10922,2013-03-09,21:56:55,C,0,5512446,24,20,240,20
10923,2013-03-09,21:56:57,E,33,517,120,182,472,120
10924,2013-03-09,21:56:58,C,0,3589509,41,50,129,41
10925,2013-03-09,21:56:58,E,23,424,46,36,472,36
10926,2013-03-09,21:56:59,E,29,554,22,22,248,22
10927,2013-03-09,21:57:00,E,35,411,37,17,472,17
10928,2013-03-09,21:57:00,C,0,6573955,18,27,234,18
10929,2013-03-09,21:57:01,E,11,162,418,234,472,234
10930,2013-03-09,21:57:01,C,0,6598174,25,19,81,19
10931,2013-03-09,21:57:02,E,25,262,136,58,472,58
10932,2013-03-09,21:57:03,E,75,1481,20,24,64,20
10933,2013-03-09,21:57:03,E,11,218,20,15,95,15
10934,2013-03-09,21:57:04,E,13,116,215,205,472,205
10935,2013-03-09,21:57:04,C,0,4698889,21,44,60,21
10936,2013-03-09,21:57:04,E,8,92,55,55,472,55
10937,2013-03-09,21:57:04,C,0,6445152,26,26,306,26
10938,2013-03-09,21:57:05,E,52,832,124,132,472,124
10939,2013-03-09,21:57:05,C,0,6584190,22,34,160,22
10940,2013-03-09,21:57:06,E,68,1338,35,29,155,29
10941,2013-03-09,21:57:06,C,0,6613970,23,31,238,23
10942,2013-03-09,21:57:07,E,17,266,138,30,472,30
10943,2013-03-09,21:57:08,E,67,1088,24,23,52,23
10944,2013-03-09,21:57:09,E,17,186,224,197,472,197
10945,2013-03-09,21:57:09,C,0,6475732,42,23,273,23
10946,2013-03-09,21:57:10,E,15,205,218,28,472,28
10947,2013-03-09,21:57:10,C,0,4977746,34,53,87,34
10948,2013-03-09,21:57:11,E,17,230,50,48,472,48
10949,2013-03-09,21:57:11,C,0,6626387,22,19,242,19
10950,2013-03-09,21:57:12,E,21,288,193,95,472,95
10951,2013-03-09,21:57:12,C,0,4225525,22,16,33,16
10952,2013-03-09,21:57:13,E,12,338,24,24,472,24
10953,2013-03-09,21:57:13,E,4,27,472,240,472,240
10954,2013-03-09,21:57:14,C,0,6605047,63,85,266,63
10955,2013-03-09,21:57:15,E,7,125,38,90,350,38
10956,2013-03-09,21:57:15,C,0,6590581,17,19,28,17
10957,2013-03-09,21:57:16,E,29,560,27,22,303,22
10958,2013-03-09,21:57:16,C,0,6617427,15,18,241,15
10959,2013-03-09,21:57:17,E,12,177,48,42,472,42
10960,2013-03-09,21:57:17,C,0,5488496,16,21,133,16
10961,2013-03-09,21:57:18,E,7,128,31,31,362,31
10962,2013-03-09,21:57:18,E,26,407,73,41,460,41
10963,2013-03-09,21:57:19,C,0,6584198,16,14,112,14
10964,2013-03-09,21:57:20,E,5,69,420,471,472,420
10965,2013-03-09,21:57:20,E,14,252,41,116,231,41
10966,2013-03-09,21:57:20,E,12,261,45,26,472,26
10967,2013-03-09,21:57:20,C,0,6615836,20,38,83,20
10968,2013-03-09,21:57:21,E,25,438,57,93,373,57
10969,2013-03-09,21:57:21,C,0,5209856,18,26,29,18
10970,2013-03-09,21:57:21,E,32,605,33,25,118,25
10971,2013-03-09,21:57:22,E,14,190,74,42,453,42
10972,2013-03-09,21:57:22,C,0,6594115,15,15,36,15
10973,2013-03-09,21:57:22,E,21,263,54,82,472,54
10974,2013-03-09,21:57:23,E,5,96,98,98,472,98
10975,2013-03-09,21:57:24,C,0,6594135,24,14,38,14
10976,2013-03-09,21:57:24,E,39,610,35,27,238,27
10977,2013-03-09,21:57:25,C,0,4860318,18,21,72,18
10978,2013-03-09,21:57:27,E,17,220,31,56,472,31
10979,2013-03-09,21:57:28,C,0,5673740,17,17,219,17
10980,2013-03-09,21:57:29,E,10,130,53,53,472,53
10981,2013-03-09,21:57:30,C,0,6620592,17,47,243,17
10982,2013-03-09,21:57:31,E,36,690,49,22,472,22
10983,2013-03-09,21:57:31,C,0,6577497,31,31,266,31
10984,2013-03-09,21:57:31,E,37,394,138,21,472,21
10985,2013-03-09,21:57:31,C,0,6551963,24,15,294,15
10986,2013-03-09,21:57:32,E,18,188,206,188,472,188
10987,2013-03-09,21:57:32,C,0,6561682,47,21,245,21
10988,2013-03-09,21:57:32,E,6,122,93,89,472,89
10989,2013-03-09,21:57:33,C,0,6621100,38,38,242,38
10990,2013-03-09,21:57:33,E,14,229,133,110,472,110
10991,2013-03-09,21:57:33,C,0,5584557,35,35,157,35
10992,2013-03-09,21:57:34,E,23,320,54,266,472,54
10993,2013-03-09,21:57:34,C,0,5838889,57,46,362,46
10994,2013-03-09,21:57:36,E,19,235,203,131,472,131
10995,2013-03-09,21:57:36,C,0,5493257,26,43,231,26
10996,2013-03-09,21:57:36,E,19,255,239,242,472,239
10997,2013-03-09,21:57:37,C,0,6628004,31,78,242,31
10998,2013-03-09,21:57:38,E,7,63,99,104,341,99
10999,2013-03-09,21:57:39,C,0,6026830,23,23,345,23
11000,2013-03-09,21:57:39,E,14,167,52,115,472,52
11001,2013-03-09,21:57:39,C,0,6617692,91,69,242,69
11002,2013-03-09,21:57:40,E,25,321,40,35,139,35
11003,2013-03-09,21:57:41,C,0,3610292,17,16,239,16
11004,2013-03-09,21:57:43,E,10,111,37,59,459,37
11005,2013-03-09,21:57:43,E,16,237,29,20,63,20
11006,2013-03-09,21:57:44,E,40,602,44,44,280,44
11007,2013-03-09,21:57:44,C,0,6582634,29,29,56,29
11008,2013-03-09,21:57:45,E,9,114,71,118,472,71
11009,2013-03-09,21:57:45,C,0,6608522,52,189,242,52
11010,2013-03-09,21:57:45,E,8,116,70,70,286,70
11011,2013-03-09,21:57:46,C,0,6575001,29,53,243,29
11012,2013-03-09,21:57:46,E,5,50,142,142,472,142
11013,2013-03-09,21:57:47,C,0,6610935,242,144,243,144
11014,2013-03-09,21:57:47,E,35,2625,243,243,244,243
11015,2013-03-09,21:57:47,C,0,6592467,242,242,243,242
11016,2013-03-09,21:57:48,E,18,259,160,175,472,160
11017,2013-03-09,21:57:48,C,0,6589685,45,52,242,45
11018,2013-03-09,21:57:49,E,9,67,472,312,472,312
11019,2013-03-09,21:57:49,C,0,6617860,69,69,242,69
11020,2013-03-09,21:57:50,E,15,201,45,48,353,45
11021,2013-03-09,21:57:51,C,0,4727312,39,39,66,39
11022,2013-03-09,21:57:52,E,21,259,40,40,472,40
11023,2013-03-09,21:57:52,C,0,6586102,25,22,42,22
11024,2013-03-09,21:57:52,E,5,69,229,220,472,220
11025,2013-03-09,21:57:52,C,0,6615645,242,242,243,242
11026,2013-03-09,21:57:54,E,6,80,236,86,240,86
11027,2013-03-09,21:57:54,C,0,6600752,99,185,274,99
11028,2013-03-09,21:57:55,E,9,123,241,252,472,241
11029,2013-03-09,21:57:56,C,0,6585960,49,49,126,49
11030,2013-03-09,21:57:56,E,13,124,205,170,472,170
11031,2013-03-09,21:57:57,C,0,6582623,32,22,243,22
11032,2013-03-09,21:57:59,E,4,47,230,62,472,62
11033,2013-03-09,21:58:00,C,0,6043984,236,122,342,122
11034,2013-03-09,21:58:00,E,9,132,243,219,390,219
11035,2013-03-09,21:58:00,C,0,6574260,242,171,242,171
11036,2013-03-09,21:58:01,E,20,223,239,160,472,160
11037,2013-03-09,21:58:02,C,0,6582851,242,143,242,143
11038,2013-03-09,21:58:02,E,10,105,77,77,472,77
11039,2013-03-09,21:58:03,C,0,6580429,242,242,243,242
11040,2013-03-09,21:58:04,E,21,231,240,212,472,212
11041,2013-03-09,21:58:04,C,0,6575499,75,126,242,75
11042,2013-03-09,21:58:09,L,3,23,242,472,472,242
11043,2013-03-09,21:58:09,C,0,6585258,242,242,243,242
11044,2013-03-09,21:59:00,E,22,738,243,241,243,241
11045,2013-03-09,21:59:00,C,0,6565020,242,242,243,242
11046,2013-03-09,21:59:48,E,32,1284,240,237,239,237
11047,2013-03-09,21:59:48,C,0,6564583,242,242,243,242
11048,2013-03-09,22:03:25,L,3,33,270,238,241,238
11049,2013-03-09,22:03:25,C,0,6239369,242,242,242,242
11050,2013-03-09,22:04:26,L,5,3640,241,241,241,241
11051,2013-03-09,22:04:26,C,0,6534602,242,242,243,242
11052,2013-03-09,22:04:59,E,9,658,242,242,242,242
11053,2013-03-09,22:04:59,C,0,6534189,242,242,243,242
11054,2013-03-09,22:06:59,E,14,293,472,238,241,238
11055,2013-03-09,22:07:00,C,0,6527892,242,243,243,242
11056,2013-03-09,22:08:25,E,18,1181,244,243,245,243
11057,2013-03-09,22:08:25,C,0,6526953,242,243,243,242
11058,2013-03-09,22:08:27,E,27,1066,241,239,241,239
11059,2013-03-09,22:08:27,C,0,6527454,242,242,243,242
11060,2013-03-09,22:10:06,E,23,3894,240,239,240,239
11061,2013-03-09,22:10:06,C,0,6527416,242,242,242,242
11062,2013-03-09,22:10:43,E,7,1611,240,472,472,240
11063,2013-03-09,22:10:43,C,0,6528944,242,242,243,242
11064,2013-03-09,22:15:17,L,5,2066,242,242,242,242
11065,2013-03-09,22:15:17,C,0,6541161,242,242,243,242
11066,2013-03-09,22:15:34,E,15,245,241,235,472,235
11067,2013-03-09,22:15:34,C,0,6552458,242,243,243,242
11068,2013-03-09,22:20:12,E,13,363,243,242,243,242
11069,2013-03-09,22:20:12,C,0,6575457,242,242,243,242
11070,2013-03-09,22:21:11,L,5,2941,241,240,241,240
11071,2013-03-09,22:21:12,C,0,6566382,242,242,243,242
11072,2013-03-09,22:21:43,L,6,7390,242,243,243,242
11073,2013-03-09,22:21:43,C,0,6578912,242,242,243,242
11074,2013-03-09,22:22:26,E,8,1085,242,241,241,241
11075,2013-03-09,22:22:26,C,0,6582524,242,242,243,242
