EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,UTC,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
11052,E,9,658,242,242,242,242,33,586.3,2013-03-09 22:04:59,1.0,9.196054,1000.0,336.033,339.385,36.541,0.0,17.0,0.1570796,0.8498366,1.47196,18.0,18.0,1.7320506083169398,0.0
11054,E,14,293,472,238,241,238,120,585.8,2013-03-09 22:06:59,1.0,44.515859999999996,2.669082,161.37,104.604,3.625,39.191,6.0,0.3141593,1.243163,2.3237900000000002,11.0,5.0,4.1123633827583355,16.67834069772502
11056,E,18,1181,244,243,245,243,85,586.7,2013-03-09 22:08:25,1.0,26.037779999999998,1.00385,654.72,308.199,25.145,307.017,20.0,0.03141593,0.8717798000000001,1.666667,25.0,9.0,5.310550388476028,25.937921179679346
11058,E,27,1066,241,239,241,239,2,586.7,2013-03-09 22:08:27,1.0,62.79651,0.6225564,618.106,221.109,9.843,355.163,24.0,0.4869469,1.0350979999999999,2.0,28.0,7.0,7.728736795936231,100.86878033766784
11060,E,23,3894,240,239,240,239,99,588.3,2013-03-09 22:10:06,1.0,121.4697,1.075513,1998.1770000000001,983.601,16.45,914.541,43.0,0.1884956,0.5773503000000001,2.1044169999999998,45.0,14.0,11.715933117208042,112.94116729406635
11062,E,7,1611,240,472,472,240,37,588.6,2013-03-09 22:10:43,0.0,1.021261,19.14835,437.788,824.03,428.674,43.034,38.0,0.2356194,2.194491,0.8025383,38.0,59.0,0.23553939140159205,0.05333415296514095
11066,E,15,245,241,235,472,235,17,593.4,2013-03-09 22:15:34,1.0,7.9369179999999995,0.24689070000000002,257.553,50.6,32.45,204.949,11.0,0.2513274,1.322876,3.0,16.0,1.0,36.284579960631234,32.14749952617892
11068,E,13,363,243,242,243,242,278,596.6,2013-03-09 22:20:12,1.0,11.708039999999999,0.1568741,273.09,39.969,23.325,254.784,13.0,0.2042035,0.8043996999999999,2.12132,17.0,4.0,11.207873399256613,74.63336342900475
11072,L,6,7390,242,243,243,242,31,597.4,2013-03-09 22:21:43,0.0,0.8163106,928.8395,1374.894,3055.882,1684.2779999999998,3.29,38.0,0.1884956,2.13369,0.8826493000000001,38.0,86.0,0.18278561095218057,0.0008788500026489832
11074,E,8,1085,242,241,241,241,43,596.9,2013-03-09 22:22:26,1.0,16.524079999999998,12.56252,394.975,348.007,23.903,27.702,19.0,0.3612832,0.9258200999999999,1.591645,21.0,15.0,2.4068423228227602,1.315347008914757
11076,E,11,1038,240,239,239,239,116,596.7,2013-03-09 22:24:22,1.0,75.56267,2.461421,547.376,386.261,7.244,156.926,24.0,0.2984513,0.5883484,1.7320509999999998,26.0,15.0,5.102795781093878,30.698796807383566
11078,E,10,3004,243,242,243,242,207,599.1,2013-03-09 22:27:49,1.0,41.11505,4.223096,1163.9260000000002,866.668,28.309,205.221,30.0,0.42411499999999996,0.6183469,1.9364919999999999,34.0,16.0,6.65491409433766,9.735760447199858
11080,E,13,547,241,239,472,239,90,597.2,2013-03-09 22:29:20,1.0,12.35277,1.1433209999999998,224.351,117.139,18.162,102.455,14.0,0.09424778,0.8401681000000001,1.5583870000000002,17.0,7.0,4.504639182155503,10.804283808519283
11084,E,13,544,472,240,240,240,63,602.4,2013-03-09 22:33:10,1.0,2.682769,1.239002,212.808,143.163,79.324,115.547,9.0,0.14137170000000002,0.8528029,1.7320509999999998,11.0,5.0,4.468221437802334,2.16526585799711
11088,E,8,573,243,241,241,241,119,597.4,2013-03-09 22:35:57,1.0,11.31038,4.024843,322.753,283.039,28.536,70.323,16.0,0.14137170000000002,0.6324555000000001,2.0380990000000003,20.0,13.0,4.957719433346573,2.810142219521522
11090,E,18,592,243,239,243,239,57,599.7,2013-03-09 22:36:55,1.0,1000.0,1.875132,304.889,172.814,0.0,92.161,9.0,0.37699109999999997,1.9806759999999999,2.081666,13.0,3.0,4.554279784612256,1000.0
11092,E,10,783,243,241,242,241,127,600.4,2013-03-09 22:39:02,1.0,13.887270000000001,3.939293,413.188,348.009,29.753,88.343,21.0,0.17278759999999999,0.7687061,1.748949,22.0,17.0,2.944357752209697,3.525320491612235
11094,E,77,6727,240,237,239,237,79,601.8,2013-03-09 22:40:21,1.0,115.0719,0.2293709,3247.6740000000004,560.681,28.223,2444.429,65.0,0.5811946,1.088905,2.179449,70.0,8.0,17.513170340846997,501.6846820278438
11098,L,6,1728,242,242,242,242,40,600.0,2013-03-09 22:42:48,0.0,1.13701,32.842040000000004,476.985,877.211,419.508,26.71,31.0,0.1884956,2.2168189999999997,0.7878386,35.0,58.0,0.21446037986303176,0.03462057635152702
11104,E,11,1892,242,241,241,241,28,602.1,2013-03-09 22:45:01,1.0,37.67846,6.681458,997.688,873.928,26.479,130.799,26.0,0.37699109999999997,0.7656415,1.9235380000000002,29.0,20.0,3.642866929235158,5.639257666952645
11112,E,27,1071,240,238,239,238,30,604.0,2013-03-09 22:56:22,1.0,1000.0,0.4648281,545.336,154.963,0.0,333.377,20.0,0.4869469,1.136515,1.4142139999999999,24.0,5.0,5.972844353132162,1000.0
11114,D,199,24848,243,243,246,243,48,605.3,2013-03-09 22:57:10,0.0,0.00730038,0.0229534,194.578,274.142,26653.13,11943.41,27.0,0.9738937,2.182821,1.4142139999999999,34.0,56.0,0.3933579201278659,0.31805211064832006
11116,E,18,1098,243,242,243,242,57,606.3,2013-03-09 22:58:07,1.0,28.40713,3.684075,582.261,450.636,20.497,122.32,25.0,0.1570796,0.7319251,2.027588,28.0,18.0,4.309219314623557,7.710792031969813
11118,E,13,615,242,241,241,241,78,607.4,2013-03-09 22:59:25,1.0,13.40828,1.382158,298.294,168.322,22.247,121.782,15.0,0.17278759999999999,1.188177,1.2747549999999999,17.0,8.0,2.2798407770896083,9.70097269943153
11122,E,12,504,472,241,243,241,50,610.7,2013-03-09 23:01:56,1.0,10.373619999999999,2.8134959999999998,173.312,129.539,16.707,46.042,7.0,0.01570796,0.7745966999999999,2.44949,10.0,4.0,7.905694666656856,3.6870905360493964
11124,E,27,676,241,235,239,235,280,608.9,2013-03-09 23:06:36,1.0,36.01465,0.4092133,363.748,86.477,10.1,211.325,11.0,0.4869469,1.443376,1.658312,12.0,4.0,3.4467359856336808,88.00948973211787
11126,E,22,815,241,239,240,239,118,607.7,2013-03-09 23:08:34,1.0,15.833020000000001,0.105271,461.786,39.788,29.166,377.958,16.0,0.2356194,0.797724,2.44949,22.0,3.0,22.517721250290407,150.40259300025582
11130,E,37,1123,242,236,240,236,303,610.1,2013-03-09 23:18:43,1.0,20.69517,0.2405971,430.832,76.315,20.818,317.19,17.0,0.6283185,2.054805,2.160247,18.0,3.0,6.307889069765744,86.01585828219166
11132,E,23,669,242,240,242,240,9,611.0,2013-03-09 23:18:52,1.0,7.489999000000001,0.06864441,397.322,27.334,53.047,398.197,15.0,0.5340708000000001,1.475287,0.8164965999999999,17.0,3.0,3.136212863440582,109.11302058993095
11140,E,8,1358,241,240,240,240,275,593.2,2013-03-09 23:37:04,1.0,216.3425,104.3556,663.306,653.266,3.066,6.26,26.0,0.2513274,0.9026709,1.670828,27.0,24.0,2.082355263695772,2.073127693185377
11142,E,14,126,472,241,242,241,223,587.9,2013-03-09 23:40:47,1.0,2.7829900000000003,0.41882939999999996,96.695,37.747,34.745,90.125,9.0,0.8953539,2.0226,1.4142139999999999,11.0,3.0,2.5637552325389756,6.644687155112594
11148,E,21,1256,241,238,240,238,23,589.8,2013-03-09 23:48:05,1.0,42.85398,1.8005830000000003,464.88,289.721,10.848,160.904,15.0,0.2513274,0.7071068,1.9578900000000001,16.0,6.0,7.383665381240854,23.800059947817356
11150,E,22,931,240,237,240,237,175,588.7,2013-03-09 23:51:00,1.0,12.92835,0.5169437,365.213,134.776,28.249,260.717,20.0,0.7068583,1.279204,1.7888540000000002,22.0,5.0,6.153012029355756,25.009207900254808
11152,E,14,572,243,239,240,239,25,588.2,2013-03-09 23:51:25,1.0,46.835879999999996,0.6149298000000001,318.484,96.199,6.8,156.439,14.0,0.37699109999999997,0.7947194000000001,1.527525,19.0,6.0,6.086629444304492,76.16460253653119
11154,D,111,7404,238,238,243,238,27,586.8,2013-03-09 23:51:52,0.0,0.02238762,0.06329964,360.364,222.782,16096.57,3519.4829999999997,19.0,1.225221,2.781929,1.567907,23.0,24.0,0.5401207369658487,0.35367700942232133
11158,E,7,1530,240,240,472,240,118,583.9,2013-03-09 23:55:13,0.0,2.1275020000000002,17.27928,543.045,751.424,255.25,43.487,23.0,0.2042035,1.8937279999999999,0.8578164,29.0,53.0,0.2478556781839045,0.12312449293792957
11160,E,17,349,472,238,241,238,181,589.2,2013-03-09 23:58:15,1.0,1000.0,1.996936,214.463,125.122,0.0,62.657,11.0,0.4869469,1.0,1.870829,12.0,4.0,5.612487,1000.0
11164,L,6,3785,242,242,242,242,65,588.8,2013-03-09 23:59:58,0.0,1.4888350000000001,113.2707,1123.795,1862.17,754.815,16.44,29.0,0.04712389,1.586231,0.72075,31.0,77.0,0.18293179109604968,0.01314404571353159
11168,E,9,197,472,242,472,242,20,589.4,2013-03-10 00:04:54,1.0,8.668895,0.8018005,141.329,56.199,16.303,70.091,6.0,0.1884956,1.0,2.160247,9.0,3.0,6.480741,10.811785621558842
11170,E,9,177,241,236,240,236,198,595.4,2013-03-10 00:08:13,1.0,17.82911,0.39640970000000003,362.341,99.06,20.323,249.893,21.0,0.7696901999999999,1.258306,1.9578900000000001,24.0,6.0,6.223891485854793,44.976476419553265
11172,E,25,6218,241,240,241,240,640,598.4,2013-03-10 00:18:54,1.0,95.04391,0.7463609999999999,2536.817,1084.579,26.691,1453.156,48.0,0.5969026,0.9901475000000001,1.9215380000000002,51.0,13.0,7.613351934550544,127.34307780384552
11174,E,20,829,244,241,242,241,179,594.9,2013-03-10 00:21:54,1.0,23.4349,0.7093566,456.629,180.854,19.485,254.955,20.0,0.5340708000000001,1.206045,1.8973669999999998,22.0,5.0,6.922142042792765,33.036839565372986
11178,E,14,5989,243,243,243,243,7,594.5,2013-03-10 00:23:07,1.0,141.7435,3.14968,2958.4709999999995,2226.66,20.872,706.948,45.0,0.34557519999999997,0.5890151,1.907878,49.0,25.0,6.348633303288829,45.00251788040723
