EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10729,2013-03-09  19:40:35,D,333,44293,239,238,239,238,4,602.6,0.0,0.02917606,0.01240161,783.418,426.888,26851.4,34421.97,78.0,1.319469,2.489484,1.5011729999999999,81.0,71.0,0.6879360610075856,2.352601591862447
10730,2013-03-09  19:40:35,C,0,6419880,242,242,243,242,0,602.6,,,,,,,,,,,,,,,
10731,2013-03-09  19:44:32,E,20,159,239,228,470,228,237,602.1,1.0,6.682600999999999,0.45761419999999997,169.15,50.484,25.312,110.32,8.0,0.26703540000000003,0.8164965999999999,1.5811389999999999,9.0,2.0,8.714213261880086,14.603132824699388
10732,2013-03-09  19:44:32,C,0,6517404,242,242,243,242,0,602.1,,,,,,,,,,,,,,,
10733,2013-03-09  19:45:09,E,6,221,470,238,471,238,37,602.2,0.0,11.97747,5.671251,156.306,131.125,13.05,23.121,0.0,1.162389,2.898275,1.0,5.0,1.0,1.7251641062356058,2.1119627310081848
10734,2013-03-09  19:45:09,C,0,6515127,242,242,242,242,0,602.2,,,,,,,,,,,,,,,
10735,2013-03-09  19:45:55,E,26,424,245,240,241,240,46,603.7,1.0,15.213320000000001,0.5870359,269.58,87.348,17.72,148.795,11.0,0.5497787,1.322876,1.5,20.0,4.0,5.66946561884863,25.915483973656244
10736,2013-03-09  19:45:55,C,0,6508269,243,243,243,243,0,603.7,,,,,,,,,,,,,,,
10737,2013-03-09  19:54:32,E,9,550,240,239,240,239,517,599.4,1.0,1000.0,1.719479,397.392,231.055,0.0,134.375,14.0,0.4869469,1.130388,2.12132,18.0,8.0,4.222417435429251,1000.0
10738,2013-03-09  19:54:33,C,0,6505669,242,242,243,242,1,599.4,,,,,,,,,,,,,,,
10739,2013-03-09  19:54:42,E,22,836,242,241,241,241,9,599.7,1.0,14.772260000000001,1.726631,373.103,243.006,25.257,140.74,22.0,0.2827433,0.6741999,2.236068,22.0,11.0,6.633249278144361,8.555541982503305
10740,2013-03-09  19:54:42,C,0,6513059,242,242,243,242,0,599.7,,,,,,,,,,,,,,,
10741,2013-03-09  20:00:34,E,8,573,238,237,238,237,352,602.0,1.0,8.001516,6.833428,343.105,312.479,42.88,45.728,17.0,0.1570796,0.6882472,1.290994,19.0,18.0,1.9799802874445243,1.1709373019120617
10742,2013-03-09  20:00:34,C,0,6590498,242,242,243,242,0,602.0,,,,,,,,,,,,,,,
10743,2013-03-09  20:01:22,E,45,17584,240,238,240,238,48,602.2,1.0,77.9061,0.7878090999999999,8919.235999999999,3771.158,114.487,4786.893,74.0,0.7696901999999999,1.7025669999999997,2.144761,79.0,10.0,9.951803306419073,98.88956615338947
