EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
1874,E,4,21,510,240,510,240,4,0.0,497.8,2012-03-13 17:35:31
1875,E,5,37,510,239,510,239,2,0.0,497.8,2012-03-13 17:35:33
1876,E,8,29,510,240,510,240,2,0.0,497.8,2012-03-13 17:35:35
1877,E,5,24,510,241,511,241,1,0.0,497.8,2012-03-13 17:35:36
1878,L,2,7,510,240,510,240,1,0.0,497.8,2012-03-13 17:35:37
1879,L,3,10,510,238,510,238,0,0.0,497.8,2012-03-13 17:35:37
1880,E,4,18,510,242,510,242,2,0.0,497.8,2012-03-13 17:35:39
1881,L,1,0,510,239,510,239,3,0.0,497.8,2012-03-13 17:35:42
1882,L,3,18,510,241,510,241,2,0.0,497.8,2012-03-13 17:35:44
1883,L,1,0,510,240,510,240,1,0.0,497.8,2012-03-13 17:35:45
1884,L,3,15,510,240,510,240,3,0.0,497.8,2012-03-13 17:35:48
1885,L,2,11,510,239,510,239,0,0.0,497.8,2012-03-13 17:35:48
1886,E,4,35,510,239,510,239,0,0.0,497.8,2012-03-13 17:35:48
1887,L,3,26,510,239,510,239,4,0.0,497.8,2012-03-13 17:35:52
1888,E,5,17,510,241,510,241,4,0.0,497.8,2012-03-13 17:35:56
1889,E,4,10,510,238,511,238,1,0.0,497.8,2012-03-13 17:35:57
1890,L,3,11,510,239,511,239,4,0.0,497.8,2012-03-13 17:36:01
1891,L,2,5,510,241,510,241,1,0.0,497.8,2012-03-13 17:36:02
1892,L,3,15,510,238,510,238,1,0.0,497.8,2012-03-13 17:36:03
1893,L,3,18,510,239,510,239,1,0.0,497.8,2012-03-13 17:36:04
1894,E,4,17,510,241,511,241,0,0.0,497.8,2012-03-13 17:36:04
1895,E,5,18,510,241,511,241,1,0.0,497.8,2012-03-13 17:36:05
1896,L,3,17,510,241,510,241,1,0.0,497.8,2012-03-13 17:36:06
1897,E,13,590,241,241,241,241,1,1.0,497.8,2012-03-13 17:36:07
1898,E,6,44,510,242,510,242,0,0.0,497.8,2012-03-13 17:36:07
1899,L,3,26,510,241,511,241,1,0.0,497.9,2012-03-13 17:36:08
1900,E,6,58,510,240,511,240,1,0.0,497.9,2012-03-13 17:36:09
1901,L,3,10,510,239,510,239,3,0.0,497.9,2012-03-13 17:36:12
1902,L,2,14,510,241,510,241,5,0.0,497.9,2012-03-13 17:36:17
1903,L,1,0,510,239,510,239,1,0.0,497.9,2012-03-13 17:36:18
1904,E,5,24,510,242,510,242,3,0.0,497.9,2012-03-13 17:36:21
1905,E,4,12,510,239,510,239,1,0.0,497.9,2012-03-13 17:36:22
1906,L,2,11,510,241,511,241,2,0.0,497.9,2012-03-13 17:36:24
1907,L,3,26,510,241,510,241,0,0.0,497.9,2012-03-13 17:36:24
1908,L,3,13,510,239,510,239,1,0.0,497.9,2012-03-13 17:36:25
1909,E,4,37,510,240,510,240,1,0.0,497.9,2012-03-13 17:36:26
1910,L,2,12,510,242,510,242,2,0.0,497.9,2012-03-13 17:36:28
1911,L,3,15,510,240,510,240,8,0.0,497.9,2012-03-13 17:36:36
1912,E,6,52,510,241,510,241,1,0.0,497.9,2012-03-13 17:36:37
1913,E,24,712,240,239,240,239,2,1.0,497.9,2012-03-13 17:36:39
1914,E,6,32,510,241,511,241,4,0.0,497.9,2012-03-13 17:36:43
1915,L,3,16,510,241,511,241,2,0.0,497.9,2012-03-13 17:36:45
1916,E,4,18,510,239,511,239,2,0.0,497.9,2012-03-13 17:36:47
1917,L,3,16,510,238,510,238,1,0.0,497.9,2012-03-13 17:36:48
1918,L,3,23,510,240,510,240,1,0.0,497.9,2012-03-13 17:36:49
1919,L,3,18,510,240,510,240,2,0.0,498.0,2012-03-13 17:36:51
1920,E,5,29,510,238,510,238,5,0.0,498.0,2012-03-13 17:36:56
1921,L,2,7,510,240,510,240,2,0.0,498.0,2012-03-13 17:36:58
1922,L,3,11,510,240,510,240,2,0.0,498.0,2012-03-13 17:37:00
1923,L,3,15,510,241,510,241,1,0.0,498.0,2012-03-13 17:37:01
1924,E,4,14,510,240,510,240,1,0.0,498.0,2012-03-13 17:37:02
1925,E,5,28,510,241,510,241,3,0.0,498.0,2012-03-13 17:37:05
1926,E,4,45,510,239,510,239,1,0.0,498.0,2012-03-13 17:37:06
