date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C
14	121829	5147.8201	10423.3229	 642.6	 187.6	2866	  944.0	 24.9	  942.0	 -4.9	112.34	14.98	5.16	18.77	2.60	29.50	-2.25	23.8	25.4	42
14	121929	5147.8201	10423.3230	 643.2	 188.2	2470	  943.7	 24.9	  941.7	 -5.0	117.82	14.98	5.16	18.77	2.65	29.50	-2.50	23.8	25.5	43
14	122029	5147.8207	10423.3217	 644.4	 189.4	2019	  943.2	 25.0	  941.4	 -4.9	117.82	14.98	5.16	18.77	2.60	29.25	-2.50	23.9	25.5	44
14	122129	5147.8206	10423.3216	 650.1	 195.1	1863	  942.3	 25.0	  940.5	 -5.0	123.30	14.98	5.15	18.78	2.60	29.50	-2.25	23.9	25.6	45
14	122229	5147.8206	10423.3206	 662.6	 207.6	1980	  941.3	 25.1	  939.6	 -5.0	134.26	14.98	5.16	18.78	2.62	29.75	-2.25	24.0	25.6	46
14	122329	5147.8205	10423.3188	 671.1	 216.1	1698	  940.4	 25.1	  938.6	 -5.0	137.00	14.98	5.16	18.78	2.62	29.50	-2.25	24.1	25.7	47
14	122429	5147.8213	10423.3164	 676.6	 221.6	1761	  939.4	 25.2	  937.4	 -5.0	142.48	14.97	5.16	18.78	2.59	29.75	-2.50	24.1	25.8	48
14	122529	5147.8222	10423.3112	 689.0	 234.0	1727	  938.2	 25.2	  936.4	 -5.0	156.18	14.98	5.15	18.77	2.67	29.50	-2.50	24.2	25.7	49
14	122629	5147.8248	10423.3108	 709.1	 254.1	1882	  937.0	 25.3	  934.8	 -5.0	167.14	14.98	5.16	18.78	2.57	29.75	-2.50	24.2	25.8	50
14	122729	5147.8252	10423.3115	 726.9	 271.9	1890	  935.5	 25.4	  933.5	 -5.0	175.36	14.98	5.16	18.78	2.62	29.75	-2.75	24.3	25.8	51
14	122829	5147.8249	10423.3083	 747.0	 292.0	1843	  934.2	 25.4	  932.2	 -5.0	186.32	14.98	5.16	18.77	2.64	30.00	-2.50	24.3	26.0	52
14	122929	5147.8275	10423.3135	 756.3	 301.3	1945	  932.8	 25.5	  930.9	 -5.0	197.28	14.98	5.16	18.77	2.64	29.75	-2.50	24.4	25.9	53
14	123029	5147.8311	10423.3084	 763.8	 308.8	2020	  931.6	 25.5	  929.4	 -5.1	208.24	14.98	5.15	18.78	2.59	29.75	-2.50	24.5	26.1	54
14	123129	5147.8323	10423.3080	 770.8	 315.8	2044	  931.2	 25.6	  929.5	 -5.0	213.72	14.98	5.16	18.78	2.62	29.75	-2.50	24.5	26.2	55
14	123229	5147.8320	10423.3081	 770.8	 315.8	2020	  931.3	 25.6	  929.3	 -5.1	210.98	14.98	5.15	18.77	2.56	30.00	-2.75	24.5	26.2	56
14	123329	5147.8320	10423.3079	 770.7	 315.7	1940	  931.3	 25.7	  929.3	 -5.1	210.98	14.97	5.15	18.78	2.59	30.25	-2.75	24.7	26.2	57
14	123429	5147.8319	10423.3076	 770.5	 315.5	1945	  931.3	 25.7	  929.2	 -5.0	210.98	14.98	5.16	18.78	2.62	30.00	-2.50	24.7	26.2	58
14	123529	5147.8318	10423.3073	 770.4	 315.4	1936	  931.3	 25.8	  929.2	 -5.1	208.24	14.98	5.15	18.78	2.60	30.50	-2.50	24.8	26.2	59
14	123629	5147.8316	10423.3071	 770.4	 315.4	1944	  931.3	 25.9	  929.1	 -5.1	208.24	14.98	5.16	18.77	2.64	30.50	-2.75	24.8	26.4	60
14	123729	5147.8315	10423.3070	 770.2	 315.2	1947	  931.3	 25.9	  929.1	 -5.1	208.24	14.98	5.15	18.77	2.67	30.25	-2.50	24.9	26.5	61
14	123829	5147.8313	10423.3071	 770.1	 315.1	1933	  931.3	 26.0	  929.4	 -5.0	202.76	14.98	5.15	18.78	2.57	30.25	-2.75	25.0	26.5	62
14	123929	5147.8311	10423.3073	 770.1	 315.1	1891	  931.4	 26.0	  929.5	 -5.1	197.28	14.98	5.16	18.77	2.64	30.50	-2.75	25.1	26.6	63
14	124029	5147.8308	10423.3074	 770.0	 315.0	1880	  931.4	 26.1	  929.3	 -5.1	200.02	14.97	5.16	18.77	2.60	30.50	-2.75	25.1	26.6	64
14	124129	5147.8304	10423.3075	 770.0	 315.0	1869	  931.4	 26.1	  929.1	 -5.1	194.54	14.97	5.16	18.78	2.59	30.50	-2.75	25.2	26.7	65
14	124229	5147.8301	10423.3075	 770.0	 315.0	1848	  931.5	 26.2	  929.2	 -5.1	191.80	14.97	5.16	18.77	2.59	30.75	-2.50	25.3	26.8	66
14	124329	5147.8298	10423.3076	 770.0	 315.0	1885	  931.5	 26.2	  929.4	 -5.1	183.58	14.98	5.15	18.77	2.62	30.75	-3.00	25.2	26.8	67
14	124429	5147.8296	10423.3075	 770.0	 315.0	1881	  931.5	 26.3	  929.5	 -5.1	183.58	14.98	5.16	18.77	2.57	30.50	-2.75	25.3	26.8	68
14	124529	5147.8295	10423.3075	 769.9	 314.9	1886	  931.5	 26.3	  929.3	 -5.1	178.10	14.98	5.16	18.78	2.64	31.00	-3.00	25.4	26.8	69
14	124629	5147.8295	10423.3077	 769.8	 314.8	1929	  931.5	 26.4	  929.4	 -5.1	178.10	14.98	5.15	18.77	2.62	31.00	-2.75	25.4	26.9	70
14	124729	5147.8294	10423.3079	 769.6	 314.6	1933	  931.6	 26.4	  929.5	 -5.0	175.36	14.97	5.16	18.77	2.59	30.75	-2.50	25.5	26.9	71
14	124829	5147.8294	10423.3083	 769.5	 314.5	1937	  931.6	 26.5	  929.5	 -5.0	172.62	14.98	5.15	18.77	2.65	31.00	-2.75	25.4	27.1	72
14	124929	5147.8294	10423.3087	 769.5	 314.5	1937	  931.0	 26.5	  928.9	 -5.1	175.36	14.98	5.15	18.77	2.62	30.75	-2.75	25.5	27.0	73
14	125029	5147.8293	10423.3092	 770.1	 315.1	2002	  929.6	 26.5	  927.6	 -5.1	186.32	14.97	5.15	18.77	2.60	30.75	-2.75	25.6	27.1	74
14	125129	5147.8291	10423.3093	 771.0	 316.0	1917	  928.3	 26.6	  926.6	 -5.1	194.54	14.97	5.16	18.77	2.59	30.75	-2.75	25.6	27.1	75
14	125229	5147.8291	10423.3093	 772.2	 317.2	1940	  926.9	 26.6	  925.1	 -5.1	202.76	14.98	5.15	18.78	2.60	31.25	-2.75	25.6	27.2	76
14	125329	5147.8292	10423.3092	 773.9	 318.9	1939	  925.9	 26.7	  924.0	 -5.2	210.98	14.98	5.16	18.77	2.62	31.25	-3.00	25.6	27.2	77
14	125429	5147.8293	10423.3090	 777.1	 322.1	1965	  926.0	 26.7	  923.8	 -5.2	208.24	14.98	5.16	18.77	2.60	31.50	-3.00	25.6	27.2	78
14	125529	5147.8292	10423.3089	 780.4	 325.4	1965	  926.0	 26.8	  924.0	 -5.2	210.98	14.98	5.15	18.77	2.65	31.25	-2.75	25.7	27.3	79
14	125629	5147.8292	10423.3089	 783.2	 328.2	1969	  925.9	 26.8	  924.0	 -5.3	210.98	14.98	5.16	18.77	2.62	31.00	-3.00	25.8	27.2	80
14	125729	5147.8291	10423.3089	 785.4	 330.4	1949	  925.9	 26.8	  924.0	 -5.3	213.72	14.98	5.15	18.78	2.59	31.25	-3.25	25.8	27.4	81
14	125829	5147.8291	10423.3089	 786.7	 331.7	1959	  925.9	 26.9	  923.9	 -5.3	210.98	14.97	5.16	18.77	2.60	31.50	-2.75	25.9	27.3	82
14	125929	5147.8291	10423.3090	 787.6	 332.6	1977	  926.1	 26.9	  924.0	 -5.3	213.72	14.98	5.15	18.77	2.60	31.25	-3.00	25.8	27.4	83
14	130029	5147.8291	10423.3091	 788.5	 333.5	1977	  926.0	 27.0	  923.8	 -5.4	219.20	14.98	5.16	18.77	2.64	31.25	-3.00	25.9	27.5	84
14	130129	5147.8291	10423.3093	 789.4	 334.4	1972	  926.0	 27.0	  924.0	 -5.3	219.20	14.98	5.16	18.77	2.67	31.50	-3.25	26.0	27.5	85
14	130229	5147.8291	10423.3095	 790.3	 335.3	1987	  926.1	 27.0	  924.0	 -5.3	219.20	14.98	5.16	18.77	2.60	31.50	-3.00	26.0	27.6	86
14	130329	5147.8291	10423.3096	 791.1	 336.1	1985	  926.0	 27.1	  924.0	 -5.3	219.20	14.98	5.16	18.77	2.56	31.50	-3.00	26.0	27.7	87
14	130429	5147.8291	10423.3098	 792.0	 337.0	2007	  926.0	 27.1	  924.1	 -5.3	224.68	14.98	5.16	18.77	2.60	31.50	-3.00	26.1	27.6	88
14	130529	5147.8291	10423.3100	 792.8	 337.8	2014	  926.1	 27.2	  924.1	 -5.3	221.94	14.98	5.15	18.77	2.57	31.75	-3.25	26.1	27.8	89
14	130629	5147.8293	10423.3101	 793.7	 338.7	2009	  926.1	 27.2	  924.0	 -5.3	227.42	14.98	5.16	18.77	2.62	31.50	-3.00	26.1	27.7	90
14	130729	5147.8295	10423.3102	 794.5	 339.5	2018	  926.1	 27.2	  924.0	 -5.3	227.42	14.97	5.15	18.78	2.62	31.50	-3.25	26.1	27.8	91
14	130829	5147.8297	10423.3103	 795.3	 340.3	2046	  926.1	 27.3	  923.9	 -5.3	227.42	14.97	5.15	18.77	2.62	31.50	-3.25	26.2	27.7	92
14	130929	5147.8298	10423.3103	 796.2	 341.2	2028	  926.1	 27.3	  923.9	 -5.3	227.42	14.98	5.16	18.77	2.60	31.75	-3.00	26.2	27.8	93
14	131029	5147.8299	10423.3103	 797.0	 342.0	2023	  926.1	 27.3	  924.0	 -5.3	230.16	14.98	5.16	18.77	2.62	31.50	-3.00	26.2	27.9	94
14	131129	5147.8302	10423.3104	 797.7	 342.7	2053	  926.1	 27.4	  923.9	 -5.3	224.68	14.98	5.16	18.77	2.60	31.50	-3.00	26.3	27.9	95
14	131229	5147.8304	10423.3104	 798.4	 343.4	2065	  926.1	 27.4	  924.0	 -5.3	230.16	14.98	5.15	18.77	2.64	31.50	-3.00	26.3	28.0	96
14	131329	5147.8308	10423.3105	 799.0	 344.0	2086	  926.2	 27.4	  924.1	 -5.3	224.68	14.97	5.16	18.77	2.60	31.75	-3.00	26.4	28.0	97
14	131429	5147.8311	10423.3105	 799.6	 344.6	2106	  926.2	 27.5	  924.0	 -5.3	224.68	14.98	5.16	18.77	2.60	32.00	-2.75	26.4	30.1	98
14	131529	5147.8314	10423.3105	 800.4	 345.4	2100	  926.2	 27.5	  924.0	 -5.4	216.46	14.98	5.16	18.77	2.64	31.50	-3.00	26.5	28.0	99
14	131629	5147.8317	10423.3109	 800.9	 345.9	2135	  926.4	 27.5	  924.1	 -5.4	213.72	14.98	5.16	18.77	2.60	31.75	-3.00	26.5	27.9	100
14	131729	5147.8318	10423.3113	 801.6	 346.6	2144	  926.4	 27.6	  924.2	 -5.4	210.98	14.97	5.16	18.77	2.59	31.75	-3.00	26.4	28.1	101
14	131829	5147.8319	10423.3117	 802.2	 347.2	2149	  926.3	 27.6	  924.0	 -5.4	205.50	14.98	5.16	18.77	2.64	31.75	-3.00	26.5	28.2	102
14	131929	5147.8320	10423.3119	 803.0	 348.0	2126	  925.3	 27.7	  923.2	 -5.4	213.72	14.97	5.15	18.77	2.65	32.00	-3.25	26.5	28.1	103
14	132029	5147.8322	10423.3120	 804.1	 349.1	2144	  923.7	 27.7	  921.4	 -5.4	230.16	14.97	5.15	18.77	2.57	32.00	-3.25	26.6	28.2	104
14	132129	5147.8325	10423.3123	 808.5	 353.5	2125	  922.6	 27.7	  920.6	 -5.4	232.90	14.98	5.16	18.78	2.50	32.00	-3.25	26.6	28.2	105
14	132229	5147.8326	10423.3130	 815.2	 360.2	2109	  921.4	 27.8	  919.3	 -5.5	243.86	14.97	5.16	18.77	2.59	32.00	-3.00	26.7	28.2	106
14	132329	5147.8326	10423.3139	 824.1	 369.1	2092	  920.4	 27.8	  918.5	 -5.5	243.86	14.98	5.16	18.78	2.57	32.00	-3.25	26.7	28.2	107
14	132429	5147.8322	10423.3149	 830.6	 375.6	2106	  920.1	 27.8	  918.1	 -5.5	241.12	14.98	5.15	18.76	2.60	32.00	-3.25	26.8	28.2	108
14	132529	5147.8323	10423.3153	 834.5	 379.5	2106	  920.1	 27.9	  918.3	 -5.6	238.38	14.97	5.16	18.78	2.60	32.25	-3.00	26.8	28.3	109
14	132629	5147.8323	10423.3154	 836.4	 381.4	2088	  920.1	 27.9	  918.2	 -5.6	235.64	14.98	5.16	18.77	2.62	32.25	-3.25	26.8	28.4	110
14	132729	5147.8323	10423.3154	 837.7	 382.7	2106	  920.1	 27.9	  918.1	 -5.6	232.90	14.98	5.16	18.77	2.60	32.50	-3.00	26.8	28.4	111
14	132829	5147.8323	10423.3153	 838.6	 383.6	2072	  920.2	 27.9	  918.3	 -5.6	230.16	14.98	5.16	18.77	2.60	32.50	-3.25	26.8	28.3	112
14	132929	5147.8324	10423.3153	 839.5	 384.5	2074	  920.0	 28.0	  918.4	 -5.6	224.68	14.97	5.15	18.77	2.62	32.00	-3.25	26.9	28.4	113
14	133029	5147.8323	10423.3154	 840.5	 385.5	2081	  920.0	 28.0	  918.3	 -5.6	224.68	14.97	5.15	18.77	2.59	32.25	-3.00	26.9	28.4	114
14	133129	5147.8322	10423.3155	 841.3	 386.3	2086	  920.1	 28.0	  918.3	 -5.6	221.94	14.97	5.16	18.78	2.60	32.00	-3.00	26.9	28.4	115
14	133229	5147.8321	10423.3158	 843.0	 388.0	2097	  920.1	 28.0	  918.1	 -5.6	210.98	14.97	5.16	18.77	2.59	32.50	-3.00	26.9	28.4	116
14	133329	5147.8320	10423.3162	 844.2	 389.2	2136	  920.1	 28.1	  918.2	 -5.6	213.72	14.98	5.16	18.78	2.59	32.25	-3.00	27.0	28.5	117
14	133429	5147.8322	10423.3166	 845.3	 390.3	2177	  920.0	 28.1	  918.5	 -5.6	208.24	14.98	5.15	18.77	2.62	32.50	-3.25	26.9	28.5	118
14	133529	5147.8324	10423.3170	 846.2	 391.2	2195	  920.1	 28.1	  918.4	 -5.6	208.24	14.97	5.16	18.77	2.62	32.50	-3.00	27.0	28.6	119
14	133629	5147.8325	10423.3174	 847.3	 392.3	2195	  920.1	 28.1	  918.1	 -5.6	208.24	14.98	5.16	18.77	2.60	32.50	-3.00	27.0	28.6	120
14	133729	5147.8325	10423.3178	 848.1	 393.1	2213	  920.1	 28.2	  918.3	 -5.6	205.50	14.98	5.15	18.78	2.56	32.25	-3.25	26.9	28.7	121
14	133829	5147.8324	10423.3182	 848.9	 393.9	2217	  920.1	 28.2	  918.4	 -5.6	202.76	14.98	5.16	18.77	2.64	32.25	-3.50	27.1	28.6	122
14	133929	5147.8324	10423.3188	 849.8	 394.8	2267	  920.1	 28.2	  918.3	 -5.6	197.28	14.98	5.16	18.77	2.57	32.50	-3.25	27.0	28.7	123
14	134029	5147.8326	10423.3192	 850.7	 395.7	2282	  920.1	 28.2	  918.2	 -5.6	197.28	14.97	5.16	18.77	2.60	32.50	-3.25	27.1	28.7	124
14	134129	5147.8328	10423.3197	 851.3	 396.3	2290	  920.0	 28.3	  918.4	 -5.6	197.28	14.98	5.16	18.77	2.62	32.50	-3.25	27.1	28.7	125
14	134229	5147.8333	10423.3207	 852.4	 397.4	2351	  920.1	 28.3	  918.3	 -5.6	200.02	14.98	5.15	18.77	2.62	32.50	-3.50	27.1	28.7	126
14	134329	5147.8338	10423.3215	 853.2	 398.2	2391	  920.1	 28.3	  918.2	 -5.6	200.02	14.98	5.16	18.77	2.59	32.50	-3.50	27.1	28.7	127
14	134429	5147.8341	10423.3219	 853.8	 398.8	2332	  919.7	 28.3	  917.7	 -5.5	205.50	14.97	5.15	18.76	2.65	32.50	-3.50	27.1	28.9	128
14	134529	5147.8346	10423.3231	 855.8	 400.8	2443	  918.5	 28.3	  916.6	 -5.5	221.94	14.98	5.15	18.76	2.65	32.25	-3.25	27.2	28.9	129
14	134629	5147.8356	10423.3259	 861.5	 406.5	2455	  917.3	 28.4	  915.5	 -5.5	227.42	14.97	5.15	18.77	2.64	32.75	-3.25	27.2	28.8	130
14	134729	5147.8368	10423.3276	 868.2	 413.2	2410	  916.3	 28.4	  914.8	 -5.5	241.12	14.98	5.16	18.78	2.54	33.00	-3.50	27.2	28.9	131
14	134829	5147.8377	10423.3284	 876.4	 421.4	2420	  915.3	 28.4	  913.7	 -5.6	252.08	14.98	5.15	18.77	2.60	32.50	-3.25	27.3	28.9	132
14	134929	5147.8386	10423.3291	 883.7	 428.7	2377	  914.3	 28.5	  912.5	 -5.6	254.82	14.97	5.15	18.78	2.57	32.75	-3.25	27.4	28.9	133
14	135029	5147.8393	10423.3299	 890.7	 435.7	2377	  913.8	 28.5	  912.2	 -5.6	263.04	14.98	5.15	18.77	2.60	32.75	-3.50	27.3	28.9	134
14	135129	5147.8402	10423.3307	 895.9	 440.9	2405	  913.8	 28.5	  912.4	 -5.7	260.30	14.98	5.16	18.77	2.65	32.50	-3.25	27.3	28.9	135
14	135229	5147.8411	10423.3318	 898.9	 443.9	2453	  913.8	 28.6	  912.3	 -5.7	263.04	14.98	5.15	18.77	2.59	32.75	-3.50	27.5	29.0	136
14	135329	5147.8420	10423.3329	 901.7	 446.7	2463	  913.8	 28.6	  912.4	 -5.7	265.78	14.97	5.16	18.77	2.62	33.00	-3.50	27.4	29.1	137
14	135429	5147.8424	10423.3334	 902.8	 447.8	2417	  913.8	 28.6	  912.3	 -5.7	268.52	14.98	5.15	18.77	2.62	33.00	-3.25	27.4	29.0	138
14	135529	5147.8426	10423.3335	 903.5	 448.5	2429	  913.9	 28.7	  912.2	 -5.6	268.52	14.98	5.15	18.77	2.62	32.75	-3.50	27.4	29.1	139
14	135629	5147.8427	10423.3334	 904.2	 449.2	2403	  913.9	 28.7	  912.2	 -5.6	271.26	14.98	5.16	18.77	2.62	32.50	-3.50	27.6	29.1	140
14	135729	5147.8429	10423.3334	 905.0	 450.0	2412	  913.9	 28.7	  912.4	 -5.7	265.78	14.97	5.16	18.77	2.59	32.75	-3.75	27.5	29.2	141
14	135829	5147.8431	10423.3338	 905.7	 450.7	2478	  913.9	 28.7	  912.4	 -5.7	265.78	14.98	5.15	18.78	2.64	33.25	-3.50	27.5	29.1	142
14	135929	5147.8432	10423.3344	 906.3	 451.3	2524	  913.9	 28.8	  912.4	 -5.7	268.52	14.97	5.16	18.78	2.53	32.75	-3.50	27.6	29.1	143
14	140029	5147.8432	10423.3348	 907.0	 452.0	2508	  913.8	 28.8	  912.6	 -5.6	268.52	14.98	5.16	18.77	2.64	33.00	-3.75	27.6	29.2	144
14	140129	5147.8432	10423.3354	 907.5	 452.5	2552	  913.9	 28.8	  912.3	 -5.6	263.04	14.98	5.16	18.77	2.62	33.00	-3.25	27.7	29.2	145
14	140229	5147.8431	10423.3358	 908.1	 453.1	2552	  913.9	 28.8	  912.2	 -5.6	265.78	14.98	5.16	18.77	2.65	33.25	-3.50	27.7	29.2	146
14	140329	5147.8429	10423.3360	 908.8	 453.8	2554	  913.8	 28.9	  912.2	 -5.5	263.04	14.97	5.16	18.77	2.60	33.00	-3.25	27.7	29.3	147
14	140429	5147.8428	10423.3358	 909.4	 454.4	2487	  913.9	 28.9	  912.1	 -5.5	257.56	14.97	5.15	18.77	2.64	33.25	-3.50	27.7	29.3	148
14	140529	5147.8436	10423.3379	 910.4	 455.4	2529	  914.0	 28.9	  912.3	 -5.4	263.04	14.98	5.16	18.77	2.64	33.25	-3.50	27.7	29.4	149
14	140629	5147.8429	10423.3448	 911.0	 456.0	2627	  914.0	 28.9	  912.2	 -5.3	265.78	14.97	5.16	18.77	2.62	33.50	-3.25	27.8	29.4	150
14	140729	5147.8444	10423.3449	 911.7	 456.7	2669	  914.1	 29.0	  912.1	 -5.2	274.00	14.98	5.15	18.77	2.65	33.25	-3.50	27.8	29.4	151
14	140829	5147.8453	10423.3490	 912.7	 457.7	2750	  914.1	 29.0	  912.3	 -5.1	276.74	14.98	5.15	18.77	2.64	33.25	-3.50	27.8	29.4	152
14	140929	5147.8461	10423.3498	 913.3	 458.3	2776	  914.1	 29.0	  912.1	 -5.0	284.96	14.98	5.16	18.77	2.60	33.00	-3.50	27.9	29.5	153
