Num,t_minutes,h_GPS,h_barometric
138,137,902.8,934.993542805477
139,138,903.5,935.03959589077
140,139,904.2,936.163354172783
141,140,905,935.552493134759
142,141,905.7,934.342461915135
143,142,906.3,933.478045962312
144,143,907,933.127006401882
145,144,907.5,934.993542805477
146,145,908.1,936.509095366445
147,146,908.8,934.780245463754
148,147,909.4,935.690841309649
149,148,910.4,936.722158836691
150,149,911,936.768391817503
151,150,911.7,937.678987663397
152,151,912.7,933.523936269689
153,152,913.3,934.480432230792
154,153,913.6,936.301923466163
155,154,914.1,940.458016686783
156,155,914.6,936.999704989067
157,156,915.1,936.953422575187
158,157,915.5,933.661666051401
159,158,915.9,935.996354505348
160,165.966666666667,922.3,932.61354003926
161,167.133333333333,922.4,932.140539607978
162,168.133333333333,922.4,931.23014337755
163,169.133333333333,922.4,932.832266740096
164,171.15,922.4,931.489547802999
165,172.15,922.5,929.973961752033
166,173.15,922.5,933.005189522357
167,174.15,922.6,929.714538421819
168,176.166666666667,922.7,932.094793291928
169,177.166666666667,922.7,929.928450969276
170,178.166666666667,922.7,930.533677557377
171,179.166666666667,922.7,928.804341719357
172,181.183333333333,922.8,928.449982309419
173,182.183333333333,922.8,925.20954695398
174,183.183333333333,922.9,925.164552002918
175,184.183333333333,922.9,925.81491847861
176,186.2,922.9,926.029264928586
177,187.2,922.9,927.803685749728
178,188.2,922.8,924.514277068162
179,189.2,923.1,939.733290664555
180,191.216666666667,933.1,978.861196769271
181,192.216666666667,980.3,997.933189317166
182,193.216666666667,1004.1,1017.59986442447
183,194.216666666667,1022.8,1036.93220897904
184,196.233333333333,1059.7,1067.89571388614
185,197.233333333333,1058.5,1066.47781594446
186,198.233333333333,1056.5,1067.14349642915
187,199.233333333333,1056.9,1066.53839581641
188,201.083333333333,1057.1,1065.61339999164
189,202.083333333333,1057.1,1062.20012256286
190,203.083333333333,1057.1,1063.76371732059
191,204.083333333333,1057.1,1062.77886242085
192,206.266666666667,1057.1,1065.29360778008
193,207.266666666667,1057.1,1064.68850716734
194,208.266666666667,1057.2,1062.95940533228
195,209.433333333333,1057.3,1065.29360778008
196,211.283333333333,1057.7,1060.98996541637
197,212.283333333333,1057.4,1061.39575371182
198,213.45,1057.3,1061.59506602911
199,214.45,1057.3,1061.65510413883
200,216.3,1057.2,1062.38046465021
201,217.466666666667,1057.1,1064.5498976571
202,218.466666666667,1057.2,1063.68518473143
203,219.466666666667,1057.2,1065.41452056945
204,221.483333333333,1057.4,1062.63984207363
205,222.483333333333,1057.5,1062.38046465021
206,223.483333333333,1057.6,1058.62884515936
207,224.483333333333,1057.6,1059.44028762836
208,226.5,1057.7,1058.3961776616
209,227.5,1057.7,1059.44028762836
210,228.5,1057.7,1057.50452522345
211,229.5,1057.7,1059.98581934348
212,231.516666666667,1057.8,1060.97049312463
213,232.516666666667,1057.9,1059.98581934348
214,233.516666666667,1059.4,1063.42575329833
215,234.516666666667,1059.9,1061.40290585868
216,236.533333333333,1060,1060.91050623561
217,237.533333333333,1060,1061.34287395128
218,238.533333333333,1060.1,1062.95940533228
219,239.533333333333,1060,1059.98581934348
220,241.55,1059.9,1058.51560073623
221,242.55,1059.8,1062.8203817737
222,243.55,1059.9,1065.53548547421
223,244.55,1059.9,1065.16355223366
224,246.566666666667,1059.9,1062.8203817737
225,247.566666666667,1060,1063.74548062191
226,248.566666666667,1060,1061.89538594893
227,249.566666666667,1059.9,1061.63592750255
228,251.583333333333,1060.9,1061.89538594893
229,252.583333333333,1060.8,1061.95548876517
230,253.583333333333,1060.5,1063.11381025193
231,254.583333333333,1060.7,1060.10560011609
232,256.6,1059,1058.31582719124
233,257.6,1059,1056.46655633867
234,258.6,1058.7,1054.87720150309
235,259.766666666667,1058.5,1057.27195137366
236,261.616666666667,1057,1054.61769712124
237,262.616666666667,1056.3,1050.68934244802
238,263.783333333333,1056,1052.76924935574
239,264.783333333333,1055.9,1053.08788006233
240,266.633333333333,1056.1,1055.54207528702
241,267.8,1055.5,1055.54207528702
242,268.8,1055.5,1057.27195137366
243,269.8,1054.5,1051.84517971024
244,271.816666666667,1055.9,1055.60148317224
245,272.816666666667,1058.8,1057.39114029911
246,273.816666666667,1060.1,1055.60148317224
247,274.816666666667,1060.1,1055.72033735188
