,event,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
10,10701,1.1968905,0.39999074,0.53427951,0.64649632,0.41570529,0.64049737,0.40509847,0.32022225,0.43344007,0.65006753,0.20437336,0.47571813,0.31924586,0.2854191,0.34163867,0.43069346,0.38136625,0.44997444,0.19087813,0.35598935,0.83050769,0.35687493,0.35263898,0.52020495,0.62872585,0.62440492,0.60521378,0.61862448,0.60904023,0.38737576,0.51241675,0.57503614,0.37155019,0.76229016,0.26886561,0.5124435,0.60626637,0.77358032,0.51656948,0.38475287,0.30760243,0.42314504,0.44246126,0.27639513,0.4486357,0.40804414,0.34736402,0.51664459,0.37643728,1.0,0.40027221,0.3073162,0.61835209,0.54134441,0.58716923,0.56719793,0.26155162,0.60576226,0.66632499,0.5335626,0.56241865,0.42476452,0.37216191,0.57196069,0.70964592,0.58471346,0.64426417,0.69217627,0.53586244,0.62382055,0.24709017,0.30655991,0.2624068,0.37269478,0.31491927,0.44642579,0.17753844,0.18898333,1.0,0.18357608,0.67831746,0.21318683,0.20143916,0.20796005,0.23287794,0.19778918,0.27024813,0.26303958,0.20614122,0.43492611,0.24849293,0.83687213,0.45793185,0.37977283,0.51802345,0.52488693,0.93937043,1.1695708999999999,0.5203703,0.84543351,0.89298905,0.66426471,0.8800778,0.92366386,0.26793358,0.62398767,1.0398779,0.38478898,0.82153144
11,10703,1.1857306,0.39331373,0.52500821,0.63364794,0.4162212,0.63890427,0.40090607,0.31931866,0.42588779,0.6460876,0.20368116,0.46877579,0.31432465,0.28182942,0.33841477,0.42094251,0.37816473,0.44336524,0.18807882,0.34927448,0.82743493,0.35382088,0.35279093,0.50844924,0.6182124,0.62248543,0.59921668,0.62001222,0.59656199,0.38459406,0.49804954,0.56153008,0.36384333,0.75160598,0.26444103,0.50798962,0.59682571,0.77389043,0.51089513,0.38483084,0.30369236,0.41480869,0.43507313,0.27553928,0.44831181,0.40567124,0.34985969,0.51951021,0.37517021,1.0,0.3955143,0.30312398,0.60291921,0.52974088,0.57638098,0.55860887,0.25981524,0.59802852,0.65443645,0.51915517,0.56156591,0.41803485,0.36477848,0.56755412,0.69650804,0.57653132,0.62827749,0.67147818,0.53034712,0.6171587,0.24424186,0.30721595,0.26077761,0.36399148,0.31186106,0.44195043,0.17661576,0.18751022,1.0,0.18156775,0.65215296,0.20786506,0.1968673,0.20622832,0.2261967,0.19497201,0.26360564,0.26004409,0.20449855,0.4239185,0.2457751,0.82434328,0.44660149,0.37353853,0.51559935,0.52432328,0.96466513,1.1656369,0.50990106,0.83833682,0.87336523,0.6552155,0.8692062,0.91563805,0.26562712,0.61636506,1.0407568,0.38286105,0.81916662
12,10707,1.1857306,0.39058671,0.52940225,0.63923623,0.4140518,0.63332011,0.40335415,0.31682296,0.42113223,0.6428781,0.20434473,0.47100843,0.31633806,0.2845714,0.34294097,0.42291721,0.37782813,0.44635471,0.18952491,0.35007085,0.82081104,0.35157357,0.35043979,0.51214736,0.62440241,0.62509607,0.60395277,0.62277195,0.5963718,0.38412946,0.50038192,0.56193311,0.3680059,0.75037837,0.26647162,0.51349498,0.59251637,0.77441035,0.50833739,0.38189351,0.30068479,0.41905911,0.43894564,0.27947658,0.45159398,0.41252309,0.34943336,0.52154378,0.37097888,1.0,0.39819261,0.30526635,0.6102631,0.53383114,0.57423862,0.55686989,0.25832371,0.5955747,0.6622907,0.52371051,0.55894445,0.41365301,0.36450164,0.56534461,0.70330999,0.57072335,0.634099,0.68551929,0.53048934,0.62027662,0.2484279,0.30998397,0.2654549,0.37250067,0.31971357,0.45033762,0.17730096,0.18899614,1.0,0.18157811,0.66970255,0.20946486,0.19765941,0.20589924,0.23023265,0.19411641,0.26532269,0.26243572,0.20371574,0.43017725,0.24676504,0.81752981,0.45004058,0.3712196,0.51642948,0.5229916,0.96278177,1.1801665000000001,0.52089599,0.86305528,0.88232709,0.67070084,0.8596036,0.93051028,0.26480853,0.61941831,1.0403721,0.3858076,0.82123589
13,10709,1.1930604999999999,0.3960903,0.52646304,0.63659568,0.41478911,0.63839291,0.40456838,0.3202227,0.42450424,0.64680297,0.20347951,0.46882953,0.31393145,0.28179638,0.34500267,0.42759749,0.38013522,0.45176634,0.18868208,0.35264232,0.82391502,0.35071891,0.34866119,0.5112907,0.62667639,0.6212746,0.60372122,0.6186332,0.59291844,0.3829678,0.50216708,0.56198685,0.37151949,0.76600574,0.26873412,0.51281085,0.59681433,0.76687175,0.51017106,0.37942224,0.30405767,0.41448307,0.43248335,0.2737635,0.44563409,0.40307886,0.34457718,0.52300212,0.37114188,1.0,0.39455251,0.30526346,0.60795681,0.53451196,0.57708814,0.56485512,0.26107017,0.60320724,0.67053321,0.5299632,0.55934349,0.41876608,0.36409886,0.56915133,0.69891465,0.56619167,0.6243742,0.67931227,0.52799271,0.61484294,0.24447,0.30680799,0.26346559,0.36646616,0.31556821,0.44424891,0.17330556,0.18614219,1.0,0.18226055,0.66742061,0.20877659,0.20066947,0.2068796,0.23216696,0.19847986,0.27244191,0.26593274,0.20712219,0.4271862,0.56038933,0.81157673,0.44523791,0.36630319,0.51082046,0.51080075,0.95787345,1.1473645000000001,0.51121188,0.83580106,0.8713997,0.65433376,0.86103531,0.93522409,0.27126792,0.63296684,1.0509879999999998,0.38497525,0.82278236
14,10711,1.1930604999999999,0.39532063,0.52766243,0.64335671,0.41697851,0.63338674,0.40201189,0.31720552,0.42490817,0.64123115,0.20292013,0.4670285,0.31956094,0.28605708,0.33566383,0.42328654,0.37730611,0.44853036,0.18915092,0.34844514,0.82848701,0.35255426,0.3477483,0.51461835,0.62644901,0.63098693,0.60320449,0.6195078,0.59439515,0.38284028,0.49713161,0.55340497,0.36672207,0.75594833,0.26750185,0.50593385,0.59881084,0.76568596,0.50941143,0.37724328,0.30580032,0.41516623,0.43898075,0.28009232,0.44991891,0.40845449,0.34721154,0.51859772,0.36775508,1.0,0.39540011,0.30268972,0.60394485,0.52745497,0.57827054,0.5612397,0.25754796,0.59815559,0.65374234,0.52185866,0.55109989,0.41317053,0.36602565,0.56064997,0.69307933,0.57706044,0.63338614,0.68030592,0.5296767,0.61958278,0.24794687,0.31213055,0.26492179,0.36719595,0.32537538,0.44647061,0.17641435,0.18646218,1.0,0.18075293,0.66475523,0.20705952,0.19697352,0.20770826,0.22923408,0.19550053,0.2641834,0.26025134,0.20386142,0.42012652,0.73460744,0.80818248,0.44010393,0.37121147,0.51727281,0.52063868,0.94218184,1.1706389,0.51161594,0.84895615,0.88509023,0.65787229,0.8563501,0.93030907,0.2689405,0.61768795,1.031962,0.38254297,0.81409109
15,10713,1.1930604999999999,0.3986716,0.53018528,0.64038944,0.42143681,0.63707829,0.40385544,0.31879128,0.42241252,0.6436419,0.20383848,0.47421683,0.31990399,0.28656796,0.3439838,0.43236897,0.38034261,0.4516855,0.18986905,0.35023491,0.82558089,0.35210041,0.34829455,0.51201508,0.61939346,0.63105411,0.60775569,0.63127978,0.60136458,0.38831451,0.50272659,0.55110485,0.37493989,0.77601189,0.26836767,0.51479207,0.59280631,0.76592607,0.50807314,0.38297012,0.30568261,0.41332214,0.44080848,0.28225595,0.45225952,0.40578006,0.3567866,0.52189717,0.3705648,1.0,0.40198699,0.30574496,0.62140071,0.5401267,0.58968845,0.56830755,0.26097336,0.60915384,0.66502449,0.53063401,0.56180527,0.41795071,0.36490868,0.57180724,0.69730117,0.57023833,0.63550141,0.67947096,0.52705971,0.62952905,0.24717181,0.31320489,0.26467472,0.37498231,0.32132874,0.45171264,0.17924293,0.19080353,1.0,0.18270178,0.67860668,0.21128036,0.20271042,0.20854328,0.2337172,0.19956888,0.27268407,0.26599011,0.20862344,0.42973026,1.2101129,0.81874195,0.44610223,0.37106359,0.51487702,0.51688289,0.97257853,1.1763983,0.51895385,0.8662394,0.90918414,0.67026238,0.88489506,0.94260553,0.27242795,0.64324866,1.0420589,0.38740609,0.82588306
16,10715,1.1930604999999999,0.39480487,0.53267797,0.6422275,0.42061078,0.64193354,0.40415901,0.32064062,0.42323354,0.6428738,0.20431893,0.47427345,0.31621087,0.28704078,0.34348263,0.4269029,0.38158554,0.44820885,0.19036662,0.35557344,0.8417859,0.35084775,0.34978571,0.51579195,0.62629864,0.62636161,0.60914921,0.61878873,0.59365161,0.38629425,0.50849525,0.54035175,0.37251895,0.76530814,0.26595854,0.51006524,0.59735006,0.77652142,0.51328193,0.38407322,0.3060816,0.41854621,0.44289681,0.2790254,0.45269799,0.41559897,0.34557281,0.52035089,0.37180492,1.0,0.40099294,0.30695715,0.60843354,0.53982607,0.57736728,0.5641106,0.26166733,0.60135712,0.6601768,0.52632387,0.55881045,0.4196374,0.36688069,0.57185022,0.70587486,0.58161685,0.64172743,0.68138868,0.53655376,0.6225874,0.24616114,0.30549519,0.26308115,0.36964903,0.31734566,0.44872299,0.17735736,0.19018367,1.0,0.1831457,0.6757114,0.21374714,0.20079503,0.20880177,0.23253715,0.19508122,0.26890261,0.26421952,0.20587047,0.43031954,1.3332095,0.82030433,0.45673566,0.37311929,0.51596058,0.52194506,0.95232091,1.1709751,0.52203778,0.85136835,0.91315343,0.66515457,0.87219065,0.9345565,0.26708877,0.62775881,1.0551021,0.38409883,0.82882568
17,10717,1.1764863,0.38929641,0.52106374,0.62281755,0.41160366,0.61700494,0.39300044,0.30991947,0.41638414,0.63652769,0.2008888,0.46345976,0.31184497,0.27822769,0.33178016,0.41657457,0.3721773,0.43878037,0.18616657,0.3430788,0.80712985,0.34140968,0.34132637,0.50436925,0.60623542,0.61454769,0.59212812,0.60400084,0.58356314,0.37751651,0.48784892,0.52958174,0.36189551,0.7439483,0.25775621,0.49985005,0.58456117,0.75797446,0.50588158,0.37578685,0.29766402,0.41224414,0.43290917,0.26974514,0.43642101,0.40189193,0.33749386,0.50694416,0.36609443,1.0,0.39120636,0.29684962,0.60408509,0.52462303,0.56676999,0.54531531,0.252958,0.58833714,0.64852872,0.51613157,0.55224271,0.41488334,0.35804866,0.55922878,0.68927952,0.56258973,0.62409047,0.67403117,0.51531715,0.60648492,0.241572,0.30050467,0.25533539,0.35458203,0.31029243,0.43762861,0.17199905,0.1842126,1.0,0.17717056,0.64718582,0.20307235,0.1954675,0.20239001,0.22434469,0.19082037,0.26378831,0.2579584,0.20318623,0.41597562,1.3548226,0.81036779,0.44562455,0.36967239,0.50083493,0.50830805,0.93443568,1.1214502,0.50439477,0.8085318,0.88032173,0.64975949,0.84772915,0.90779081,0.26193589,0.60912177,1.0138027,0.37553115,0.80202636
18,10719,1.1764863,0.39175639,0.52832377,0.63386636,0.41293643,0.62779952,0.39542348,0.31429577,0.42147431,0.63116726,0.20107648,0.46911889,0.31357105,0.28314297,0.337943,0.42176807,0.3771525,0.44264936,0.18727074,0.34355544,0.81419927,0.34793294,0.34381165,0.50612903,0.60598414,0.62071899,0.6040895,0.61943,0.60160233,0.3863731,0.50356856,0.53386781,0.36627823,0.75557631,0.26354038,0.50031396,0.57902242,0.75832721,0.50198349,0.37517251,0.3012427,0.41517573,0.43433928,0.27782413,0.45009712,0.40275813,0.34884177,0.52603019,0.37286901,1.0,0.39736579,0.30343322,0.59912109,0.52984118,0.57494592,0.56114161,0.25718911,0.5954957,0.64990971,0.5198723,0.54531573,0.40718156,0.35468127,0.55532084,0.69081358,0.56553866,0.62440671,0.67395847,0.5223248,0.61603549,0.24558893,0.30762525,0.26295977,0.36545343,0.31959133,0.45193579,0.17944385,0.18922913,1.0,0.182566,0.67027058,0.21090645,0.19939458,0.20644125,0.23041462,0.19289116,0.26568477,0.26215526,0.20463165,0.42380675,1.376172,0.80382133,0.43651048,0.36518974,0.51147037,0.51593736,0.94043452,1.1740796999999998,0.51439813,0.85155355,0.90862022,0.66148251,0.86643838,0.92663384,0.26561665,0.61796206,1.0147620000000002,0.37677934,0.81664688
19,10721,1.1764863,0.39442416,0.52228324,0.62300549,0.41405605,0.63477635,0.40182695,0.31862769,0.42241165,0.64124418,0.20251471,0.46854407,0.31256262,0.28039212,0.33661035,0.4197645,0.38008072,0.44818443,0.18767581,0.34679209,0.82256759,0.34908387,0.34430061,0.50752723,0.6198271,0.61947437,0.59824447,0.61589819,0.58566761,0.38044052,0.50005013,0.52901343,0.36722337,0.75626375,0.26455153,0.51332007,0.58699914,0.77696982,0.50786081,0.38028187,0.30104368,0.42105024,0.43329635,0.27522196,0.44053244,0.40834816,0.34440014,0.51807211,0.36687377,1.0,0.390932,0.29832214,0.60341419,0.52805812,0.57498524,0.55592921,0.26049307,0.60377695,0.65851208,0.52367628,0.55424165,0.41513658,0.3635386,0.56320994,0.69777943,0.57311367,0.63695952,0.68028541,0.52719949,0.619849,0.24498712,0.30675481,0.26110655,0.3592613,0.31014582,0.4385005,0.17640326,0.18353289,1.0,0.17961746,0.66029613,0.20991542,0.1982086,0.20670088,0.23102051,0.1946932,0.26961057,0.26594881,0.20707345,0.42962347,1.5781214,0.81675325,0.44541082,0.37213923,0.51428611,0.51639318,0.95159993,1.1502643,0.51175372,0.83121794,0.87621902,0.65587557,0.84935516,0.93939634,0.26919196,0.62795057,1.0459599,0.37971925,0.82436645
