Year Flight Event Theta
2013 3 11714 8.679800e-01
2013 3 11722 5.504800e-01
2013 3 11738 2.320900e-01
2013 3 11748 6.864500e-01
2013 3 11772 3.458400e-01
2013 3 11776 7.945900e-01
2013 3 11788 2.757300e-01
2013 3 11818 4.213900e-01
2013 3 11838 9.458000e-02
2013 3 11874 1.167100e-01
2013 3 11878 4.358500e-01
2013 3 11880 1.601000e-01
2013 3 11882 3.683000e-02
2013 3 11888 3.120500e-01
2013 3 11892 6.529400e-01
2013 3 11902 1.294100e-01
2013 3 11904 2.446900e-01
2013 3 11906 5.614000e-02
2013 3 11908 5.271700e-01
2013 3 11914 5.020200e-01
2013 3 11916 5.645000e-01
2013 3 11918 2.435600e-01
2013 3 11926 8.516400e-01
2013 3 11930 1.779100e-01
2013 3 11932 2.388000e-01
2013 4 11938 1.005300e-01
2013 4 11940 2.926000e-01
2013 4 11942 2.128600e-01
2013 4 11944 6.940000e-02
2013 4 11946 4.653100e-01
2013 4 11948 3.689000e-01
2013 4 11950 4.493500e-01
2013 4 11952 4.787400e-01
2013 4 11954 2.372900e-01
2013 4 11956 1.203400e-01
2013 4 11958 8.974000e-02
2013 4 11960 4.462000e-01
2013 4 11962 2.378800e-01
2013 4 11964 1.386400e-01
2013 4 11966 1.167800e-01
2013 4 11968 5.599300e-01
2013 4 11970 7.592900e-01
2013 4 11972 5.232100e-01
2013 4 11974 4.052700e-01
2013 4 11976 1.527100e-01
2013 4 11980 3.716600e-01
2013 4 11982 4.798300e-01
2013 4 11984 6.564100e-01
2013 4 11986 1.986900e-01
2013 4 11988 5.898100e-01
2013 4 11990 2.205300e-01
2013 4 11992 2.862600e-01
2013 4 11994 3.145800e-01
2013 4 11996 3.313200e-01
2013 4 11998 3.256600e-01
2013 4 12000 3.337200e-01
2013 4 12002 6.275200e-01
2013 4 12004 2.840300e-01
2013 4 12006 2.021700e-01
2013 4 12008 9.973000e-02
2013 4 12010 2.717100e-01
2013 4 12012 4.377600e-01
