EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10749,2013-03-09  20:06:35,55,2383,240,236,240,236,269,601.2,1.0,54.46197,0.3700035,1094.032,291.935,20.088,789.0060000000001,32.0,0.6440265000000001,1.4234870000000002,1.927248,38.0,7.0,7.3497007198319535,147.19310464991767
10751,2013-03-09  20:11:47,23,899,240,237,240,237,312,601.2,1.0,47.06785,0.8958208000000001,543.21,232.44400000000002,11.540999999999999,259.476,18.0,0.1570796,0.8528029,2.13809,22.0,7.0,7.879559777026354,52.54158493419036
10753,2013-03-09  20:14:05,27,1858,241,239,240,239,138,601.1,1.0,49.10067,0.7640898,833.0419999999999,349.62,16.965999999999998,457.564,24.0,0.09424778,0.8819171,2.035401,27.0,7.0,8.902007261874646,64.26033937400369
10755,2013-03-09  20:17:11,14,457,241,237,470,237,186,599.4,1.0,30.09059,1.020062,340.475,150.60399999999998,11.315,147.642,19.0,0.3769911,0.7801895000000001,2.0,23.0,9.0,6.551114967724008,29.49878191469241
10757,2013-03-09  20:17:46,9,108,243,243,471,243,35,600.0,1.0,24.65256,0.05344059,342.49800000000005,17.345,13.892999999999999,324.566,26.0,0.7696901999999999,1.520691,1.0,32.0,1.0,21.043065290713233,461.30772057086546
10759,2013-03-09  20:22:47,24,835,238,237,237,237,300,603.4,1.0,18.84704,0.9961696,539.063,260.587,28.601999999999997,261.589,17.0,0.3612832,1.195229,2.5690470000000003,21.0,5.0,9.027556560290957,18.919508641209397
10761,2013-03-09  20:27:21,8,206,240,236,240,236,274,610.2,1.0,10.11604,0.6918966,485.155,204.178,47.958999999999996,295.099,22.0,0.424115,1.4,2.215647,25.0,11.0,3.5968295454545465,14.62073430503922
10763,2013-03-09  20:29:48,12,296,470,238,239,238,147,608.6,1.0,13.754129999999998,1.302095,177.55200000000002,88.825,12.909,68.217,8.0,0.01570796,0.8164965999999999,1.581139,9.0,2.0,8.714213261880085,10.563075115189077
10765,2013-03-09  20:30:20,8,267,241,237,240,237,32,609.8,1.0,4.85803,1.28886,175.30200000000002,98.03200000000001,36.085,76.061,8.0,0.3298672,0.7745966999999999,2.44949,10.0,4.0,7.905694666656856,3.769244668850471
10767,2013-03-09  20:38:27,17,1715,238,237,238,237,487,611.1,1.0,32.51353,1.4737559999999998,959.962,571.309,29.525,387.655,29.0,0.424115,0.9682458,2.017778,32.0,14.0,4.763319396789534,22.06167384614985
