,part,energy,angle,n,Q,Q25,Q50,QR25_130,QR50_130,eta25_130,eta50_130
144,h,10,00-20,10,30758032563.0,2171866000.0,5346590000.0,12798692500.0,9623968500.0,0.1696943652642643,0.5555494077105511
145,h,10,00-20,11,28400955615.0,1936679000.0,4726825000.0,11450127000.0,8659981000.0,0.1691403946873253,0.5458239458031143
146,h,10,00-20,12,24875485684.0,1084065000.0,2858052000.0,8590356500.0,6816369500.0,0.126195577564214,0.4192924107180516
147,h,10,00-20,13,26877138034.0,1239820000.0,3287745000.0,9704639800.0,7656714800.0,0.1277553856249255,0.42939368722470894
148,h,10,00-20,14,26645564560.0,1182611000.0,3179081000.0,9626160700.0,7629690700.0,0.12285386010644929,0.4166723298494918
149,h,10,00-20,15,28838266182.0,1738085000.0,4405102000.0,11391074300.0,8724057300.0,0.15258306233679822,0.5049373070944869
150,h,10,00-20,16,26770293897.0,1622252000.0,3956529000.0,10035978800.0,7701701800.0,0.16164362563221038,0.5137213959647204
151,h,10,00-20,17,29136933159.0,1559356000.0,4069090000.0,11224616600.0,8714882600.0,0.13892287421202432,0.4669127728697114
152,h,10,00-20,18,26510026395.0,1298067000.0,3411017000.0,9813236600.0,7700286600.0,0.13227715308525223,0.44297273298892537
153,h,10,00-20,19,27443324759.0,1595314000.0,4081945000.0,10698008400.0,8211377400.0,0.14912252265571224,0.4971084388351216
154,h,10,00-20,20,27156404368.0,1622186000.0,4105146000.0,10599820900.0,8116860900.0,0.15303900087594877,0.5057553715131424
155,h,10,00-20,21,28040615547.0,1558690000.0,3990737000.0,10743223400.0,8311176400.0,0.14508587804289724,0.48016511838203796
156,h,10,00-20,22,27182348576.0,1353573000.0,3504568000.0,9987634800.0,7836639800.0,0.13552487922365763,0.44720289428129645
157,h,10,00-20,23,25670081040.0,1830332000.0,4265174000.0,9827678900.0,7392836900.0,0.18624255214524765,0.5769333285304861
158,h,10,00-20,24,29720020752.0,1745042000.0,4483345000.0,11795314200.0,9057011200.0,0.14794366393393743,0.495013741398487
159,h,10,00-20,25,26094497256.0,1071925000.0,2908832000.0,9096418100.0,7259511100.0,0.11784033981463539,0.40069254801470033
160,h,10,00-20,26,29100515014.0,1322198000.0,3553306000.0,10710971700.0,8479863700.0,0.1234433286757727,0.41902866905749914
161,h,10,00-20,27,26166413580.0,1137151000.0,3010562000.0,9129916800.0,7256505800.0,0.12455217554665997,0.41487763986904
162,h,10,00-20,28,27007454182.0,1340173000.0,3510462000.0,9991762700.0,7821473700.0,0.1341277850804043,0.4488236021301203
163,h,10,00-20,29,27902372018.0,1601062000.0,4073371000.0,10825448000.0,8353139000.0,0.14789798999542558,0.48764554259183285
164,h,10,00-20,30,28087470951.0,1367261000.0,3567467000.0,10180252300.0,7980046300.0,0.13430521756322286,0.44704840872915735
165,h,10,00-20,31,27695209340.0,1562478000.0,3927131000.0,10393918400.0,8029265400.0,0.1503261753526947,0.4891021537287832
166,h,10,00-20,32,28326689185.0,1881599000.0,4550286000.0,11049509100.0,8380822100.0,0.17028801759165935,0.542940292217872
167,h,10,00-20,33,28543247339.0,1535246000.0,3953758000.0,10849756400.0,8431244400.0,0.14150050410348383,0.46894121584234943
168,h,10,00-20,34,26356757136.0,1208957000.0,3159797000.0,9313524400.0,7362684400.0,0.12980660683081477,0.4291637164292958
169,h,10,00-20,35,27866689586.0,2034448000.0,4820500000.0,10993317600.0,8207265600.0,0.18506224181133454,0.5873454369504016
170,h,10,00-20,36,27742961024.0,1381268000.0,3581102000.0,10078128700.0,7878294700.0,0.1370559992947897,0.45455293770617644
171,h,10,00-20,37,26204609467.0,1376557000.0,3489881000.0,9597240600.0,7483916600.0,0.14343258206947526,0.4663174627039537
172,h,10,00-20,38,29383206851.0,1621091000.0,4147356000.0,11251127700.0,8724862700.0,0.14408253494447495,0.47534914217045504
