,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
214,n,10,20-40,106,670234300.0,1159160500.0,1955979000.0,19288240298.0,1183995900.0,4075165700.0,7405158300.0
215,n,10,20-40,107,1120935000.0,1923719000.0,3199720000.0,23168359592.0,1917921100.0,5848772800.0,9934512800.0
216,n,10,20-40,108,1238334000.0,2089674000.0,3419321500.0,23816420986.0,2014767200.0,5882101600.0,10146509500.0
217,n,10,20-40,109,1237902000.0,2092344000.0,3421897200.0,23039762148.0,2018136600.0,5743779500.0,9846162600.0
218,n,10,20-40,110,698760700.0,1218144600.0,2068455400.0,19861024957.0,1260969400.0,4384006300.0,7815064800.0
219,n,10,20-40,111,866716600.0,1503900700.0,2534764900.0,21687354362.0,1536964700.0,5051292300.0,8853327000.0
220,n,10,20-40,112,1059691000.0,1806425100.0,2990642100.0,22945670353.0,1781777900.0,5486011300.0,9571655600.0
221,n,10,20-40,113,1078550000.0,1817583400.0,2969574400.0,22930894524.0,1746864000.0,5345862500.0,9438860400.0
222,n,10,20-40,114,520870600.0,921915500.0,1593947500.0,18616355373.0,986154800.0,3739348900.0,6918920200.0
223,n,10,20-40,115,624815800.0,1096347900.0,1877649000.0,19802494918.0,1152250100.0,4186037600.0,7595738000.0
224,n,10,20-40,116,536473300.0,954428100.0,1656265900.0,18835933054.0,1029035800.0,3872231900.0,7093386600.0
225,n,10,20-40,117,821075200.0,1418781100.0,2380627800.0,20895990295.0,1437437500.0,4762557700.0,8390079900.0
226,n,10,20-40,118,1071716000.0,1830638000.0,3037994200.0,22848721276.0,1813897100.0,5624256600.0,9608001300.0
227,n,10,20-40,119,1706062000.0,2727013000.0,4212750000.0,23816357048.0,2326286000.0,5956683800.0,10246935800.0
228,n,10,20-40,120,1326386000.0,2221635000.0,3597726800.0,23744914258.0,2100612800.0,5908844100.0,10168145000.0
229,n,10,20-40,121,1643311000.0,2665060000.0,4174036000.0,24159388964.0,2346612000.0,6092575800.0,10476324200.0
