Year Fl Number Ver H alpha beta Theta Phi Xo Yo Integral
2013 1 11268 12.000000 603.6 3.600000 -6.200000 1.922100e-01 -1.303090e+00 -1.65840e+02 -7.06900e+01 2.82000e+10
2013 1 11272 12.000000 594.2 1.800000 -5.200000 3.582600e-01 6.163400e+00 -9.69700e+01 2.35800e+01 5.25000e+10
2013 1 11274 12.000000 599.2 1.700000 -6.400000 5.532100e-01 5.459370e+00 -5.68400e+01 -1.55570e+02 5.30000e+10
2013 1 11276 12.000000 598.3 0.400000 -6.100000 5.589600e-01 -2.226680e+00 -6.20000e+01 -9.98000e+01 1.37000e+11
2013 2 11282 12.000000 320.5 1.700000 -1.100000 5.530300e-01 -3.078980e+00 -4.41300e+01 9.42100e+01 9.16000e+09
2013 2 11288 12.000000 320.0 1.600000 -1.000000 3.309400e-01 2.832150e+00 -3.63200e+01 1.22250e+02 1.04000e+10
2013 2 11290 12.000000 319.4 1.700000 -0.900000 5.450200e-01 1.877340e+00 -1.45750e+02 6.14700e+01 1.56000e+10
2013 2 11292 12.000000 319.4 1.700000 -0.800000 4.179000e-01 6.361500e-01 1.79120e+02 6.81500e+01 2.02000e+10
2013 2 11296 12.000000 320.2 1.600000 -0.800000 7.934000e-02 9.558400e-01 6.23000e+00 -1.21480e+02 3.91000e+09
2013 2 11300 12.000000 427.3 1.200000 -0.100000 7.294000e-02 5.802910e+00 -5.15900e+01 -1.90370e+02 1.03000e+10
2013 2 11302 12.000000 521.2 1.100000 0.300000 1.303500e-01 2.283530e+00 6.40200e+01 -1.55310e+02 2.44000e+10
2013 2 11304 12.000000 602.5 1.200000 0.200000 1.218000e-01 1.364040e+00 -2.63300e+01 7.68300e+01 4.80000e+10
2013 2 11306 12.000000 602.3 1.100000 0.100000 1.238300e-01 8.083100e-01 -1.04140e+02 1.23500e+02 5.18000e+10
2013 2 11308 12.000000 605.2 1.100000 0.500000 1.169000e-02 5.721560e+00 -5.27300e+01 3.92370e+02 1.66000e+11
2013 2 11310 12.000000 603.6 1.200000 0.100000 4.902400e-01 3.691450e+00 2.22900e+02 -7.44500e+01 2.39000e+10
2013 2 11312 12.000000 602.7 1.300000 0.100000 4.501100e-01 1.641400e-01 -2.66150e+02 1.22340e+02 5.45000e+10
2013 2 11316 12.000000 603.3 1.300000 0.400000 2.843400e-01 9.873700e-01 -3.06460e+02 4.40200e+01 1.41000e+11
2013 2 11318 12.000000 602.6 1.300000 0.300000 2.364200e-01 1.233050e+00 4.39000e+00 -5.01800e+01 2.38000e+10
2013 2 11320 12.000000 602.9 1.100000 0.300000 2.305800e-01 5.126600e-01 -4.39000e+00 -5.49000e+01 2.06000e+10
2013 2 11322 12.000000 601.5 1.200000 0.400000 4.530700e-01 9.756500e-01 1.33870e+02 1.81300e+02 2.21000e+10
2013 2 11324 12.000000 600.6 1.200000 0.400000 2.204000e-01 3.181800e+00 6.21800e+01 -3.91000e+02 1.18000e+11
2013 2 11326 12.000000 600.6 1.200000 0.200000 2.836800e-01 -1.118260e+00 -1.11270e+02 -1.64020e+02 3.47000e+10
2013 2 11328 12.000000 600.7 1.200000 0.300000 2.129800e-01 1.427360e+00 -3.40300e+01 1.65650e+02 1.02000e+11
2013 2 11330 12.000000 600.7 1.200000 0.300000 3.392000e-01 5.138120e+00 2.79400e+01 9.79400e+01 2.97000e+10
2013 2 11332 12.000000 600.5 1.200000 0.300000 5.317500e-01 2.989480e+00 -1.27040e+02 5.82000e+00 6.15000e+10
2013 2 11334 12.000000 601.1 1.200000 0.300000 3.928900e-01 6.265910e+00 -6.28300e+01 2.51990e+02 5.49000e+10
2013 2 11336 12.000000 600.7 1.200000 0.300000 1.160600e-01 -5.611900e-01 1.13700e+01 -2.26160e+02 2.13000e+10
2013 2 11338 12.000000 601.9 1.200000 0.400000 2.023600e-01 -1.179390e+00 -7.57600e+01 -6.99600e+01 2.39000e+10
2013 2 11340 12.000000 603.7 1.200000 0.400000 7.371000e-01 -1.962020e+00 1.42000e+01 -2.11480e+02 9.55000e+10
2013 2 11342 12.000000 603.7 1.100000 0.500000 5.807700e-01 -6.248600e-01 4.55800e+01 -2.00160e+02 9.14000e+10
2013 2 11344 12.000000 603.7 1.100000 0.400000 2.863000e-02 4.932110e+00 1.17460e+02 1.91020e+02 7.33000e+10
2013 2 11346 12.000000 605.4 1.200000 0.400000 1.237300e-01 6.963600e-01 -3.84790e+02 -2.83800e+01 1.06000e+11
2013 2 11348 12.000000 604.7 1.200000 0.400000 3.746800e-01 3.597970e+00 -1.00120e+02 -3.04510e+02 1.11000e+11
2013 2 11350 12.000000 604.1 1.100000 0.400000 1.722600e-01 3.400380e+00 2.34580e+02 2.94400e+01 2.95000e+10
2013 2 11352 12.000000 603.5 1.100000 0.500000 1.753100e-01 -6.852300e-01 7.99900e+01 -1.32670e+02 1.71000e+10
2013 2 11354 12.000000 604.1 1.100000 0.500000 3.269400e-01 8.277900e-01 -1.45570e+02 2.16240e+02 3.63000e+10
2013 2 11356 12.000000 604.0 1.100000 0.400000 1.934100e-01 1.403960e+00 -5.87300e+01 1.52890e+02 4.90000e+10
2013 2 11360 12.000000 603.7 1.100000 0.400000 3.216500e-01 -2.770550e+00 2.03900e+01 -8.57200e+01 2.36000e+10
2013 2 11370 12.000000 603.9 1.100000 0.600000 4.750600e-01 6.574000e-02 2.90830e+02 1.37860e+02 6.03000e+10
2013 2 11372 12.000000 602.0 1.100000 0.500000 2.460700e-01 3.890400e-01 -4.80400e+01 1.81810e+02 9.40000e+10
2013 2 11374 12.000000 602.3 1.100000 0.500000 1.350200e-01 5.417940e+00 6.05000e+00 -3.29690e+02 4.88000e+10
2013 2 11376 12.000000 602.6 1.100000 0.500000 5.771200e-01 7.492300e-01 1.61670e+02 3.74170e+02 2.26000e+11
2013 2 11378 12.000000 602.6 1.100000 0.500000 3.376600e-01 1.186390e+00 1.14750e+02 1.74080e+02 4.04000e+10
2013 2 11380 12.000000 602.3 1.100000 0.600000 1.260300e-01 1.107290e+00 -7.21200e+01 1.49890e+02 5.38000e+10
2013 2 11382 12.000000 606.7 1.000000 0.600000 2.505400e-01 -2.631100e+00 3.69200e+01 -3.13370e+02 5.25000e+10
2013 2 11384 12.000000 606.7 1.000000 0.600000 1.689100e-01 5.997300e+00 1.53770e+02 2.01260e+02 5.11000e+10
2013 2 11386 12.000000 608.6 1.100000 0.600000 4.628900e-01 -1.763340e+00 -6.68500e+01 2.16590e+02 5.95000e+10
2013 2 11388 12.000000 607.5 1.300000 0.200000 4.789300e-01 -6.155500e-01 1.90540e+02 1.22500e+02 1.21000e+11
2013 2 11390 12.000000 609.7 1.200000 0.200000 1.608600e-01 3.125930e+00 1.80700e+01 -2.47250e+02 2.29000e+10
2013 2 11392 12.000000 608.7 1.200000 0.200000 3.750600e-01 5.223500e+00 2.00020e+02 -1.49140e+02 5.21000e+10
2013 2 11394 12.000000 605.4 1.100000 0.500000 5.000900e-01 2.637800e+00 -2.08140e+02 -1.41730e+02 6.61000e+10
2013 2 11396 12.000000 603.6 1.100000 0.400000 2.116900e-01 2.888080e+00 1.32100e+01 1.32550e+02 2.16000e+10
2013 2 11398 12.000000 603.7 1.200000 0.200000 1.020100e-01 -2.400100e-01 3.89800e+01 -1.06310e+02 2.91000e+10
2013 2 11400 12.000000 601.5 1.300000 0.400000 2.730300e-01 1.420200e-01 -8.85800e+01 -2.43610e+02 3.68000e+10
2013 2 11402 12.000000 606.3 1.200000 0.400000 3.616700e-01 4.454970e+00 -3.31070e+02 8.47000e+00 6.47000e+10
2013 2 11404 12.000000 606.1 1.100000 0.400000 1.988200e-01 -2.148710e+00 6.31000e+00 3.60900e+01 2.54000e+10
2013 2 11406 12.000000 603.0 1.300000 0.300000 1.208600e-01 -2.555680e+00 -9.41200e+01 1.31490e+02 4.65000e+10
2013 2 11408 12.000000 606.4 1.100000 0.500000 4.489600e-01 2.374220e+00 1.87200e+01 -1.31330e+02 4.69000e+10
2013 2 11410 12.000000 602.9 1.100000 0.500000 3.496400e-01 4.092260e+00 -1.05800e+01 -2.14620e+02 2.83000e+10
2013 2 11412 12.000000 605.1 1.100000 0.600000 1.658100e-01 -3.140210e+00 2.28170e+02 3.11200e+01 5.59000e+10
2013 2 11414 12.000000 603.6 1.100000 0.500000 3.288400e-01 -1.873390e+00 -4.09700e+01 -2.92650e+02 6.73000e+10
2013 2 11416 12.000000 602.9 1.100000 0.600000 1.192800e-01 1.671540e+00 -1.11490e+02 -2.30740e+02 8.20000e+10
2013 2 11420 12.000000 601.0 1.100000 0.600000 2.328700e-01 3.588210e+00 -1.33940e+02 -1.68670e+02 2.79000e+10
2013 2 11422 12.000000 601.4 1.000000 0.700000 1.825500e-01 -8.759500e-01 8.66300e+01 -1.61580e+02 3.39000e+10
2013 2 11424 12.000000 600.4 1.100000 0.600000 2.139400e-01 2.246920e+00 1.38400e+02 -1.92000e+01 2.13000e+10
2013 2 11426 12.000000 599.7 1.000000 0.700000 1.976500e-01 4.708000e+00 -2.82400e+01 1.73300e+02 1.04000e+11
2013 2 11428 12.000000 599.9 1.000000 0.700000 2.250300e-01 4.833400e-01 -2.10200e+01 1.91730e+02 1.91000e+10
2013 2 11430 12.000000 599.8 1.000000 0.600000 4.733500e-01 -4.371900e-01 2.00920e+02 -3.85500e+01 1.50000e+11
2013 2 11432 12.000000 597.9 1.100000 0.600000 3.225000e-02 3.008910e+00 2.74160e+02 2.82750e+02 9.84000e+10
2013 2 11434 12.000000 596.7 1.100000 0.600000 6.152400e-01 -2.616640e+00 -3.26090e+02 -2.58390e+02 5.69000e+11
2013 2 11436 12.000000 598.0 1.100000 0.700000 4.089200e-01 2.825330e+00 3.14860e+02 -1.37000e+01 7.98000e+10
2013 2 11438 12.000000 598.6 1.100000 0.700000 4.112400e-01 7.214000e-01 -2.71000e+01 2.23590e+02 3.30000e+10
2013 2 11440 12.000000 598.3 1.000000 0.700000 2.187700e-01 4.532470e+00 -9.24600e+01 6.12700e+01 1.94000e+10
2013 2 11442 12.000000 598.3 1.000000 0.700000 2.898500e-01 -2.518490e+00 -5.13300e+01 -2.44270e+02 4.36000e+10
2013 2 11444 12.000000 599.1 1.000000 0.700000 3.911900e-01 2.518490e+00 -6.37000e+01 -6.42400e+01 5.23000e+10
2013 2 11446 12.000000 598.8 1.000000 0.700000 1.557200e-01 2.916920e+00 -3.76920e+02 -7.58700e+01 1.28000e+11
