EID      GPS    kod1 kod2  kod3  kod4   high    cur    temp
20912 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
20913 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
20914 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
20915 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
20916 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20917 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20918 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20919 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20920 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20921 17:49:33  618  3470  3738  1087  -25.41   0.556   4.4
20922 17:49:34  618  3470  3738  1087  -25.41   0.556   4.4
20923 17:49:34  618  3470  3738  1087  -25.41   0.556   4.4
20924 17:49:34  618  3470  3738  1087  -25.41   0.556   4.4
20925 17:49:34  618  3470  3738  1087  -25.41   0.556   4.4
20926 17:49:34  618  3470  3738  1087  -25.41   0.556   4.4
20927 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20928 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20929 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20930 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20931 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20932 17:49:35  618  3470  3738  1087  -25.41   0.556   4.4
20933 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20934 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20935 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20936 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20937 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20938 17:49:36  618  3470  3738  1087  -25.41   0.556   4.4
20939 17:49:37  618  3470  3738  1087  -25.41   0.556   4.4
20940 17:49:37  618  3470  3738  1087  -25.41   0.556   4.4
20941 17:49:37  618  3470  3738  1087  -25.41   0.556   4.4
20942 17:49:37  618  3470  3738  1087  -25.41   0.556   4.4
20943 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20944 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20945 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20946 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20947 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20948 17:49:38  618  3470  3738  1087  -25.41   0.556   4.4
20949 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20950 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20951 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20952 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20953 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20954 17:49:39  618  3470  3738  1087  -25.41   0.556   4.4
20955 17:49:40  618  3470  3738  1087  -25.41   0.556   4.4
20956 17:49:40  618  3470  3738  1087  -25.41   0.556   4.4
20957 17:49:40  618  3470  3738  1087  -25.41   0.556   4.4
20958 17:49:40  618  3470  3738  1087  -25.41   0.556   4.4
20959 17:49:40  618  3470  3738  1087  -25.41   0.556   4.4
20960 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20961 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20962 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20963 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20964 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20965 17:49:41  618  3470  3738  1087  -25.41   0.556   4.4
20966 17:49:42  618  3470  3738  1087  -25.41   0.556   4.4
